# Copyright:
# (c) ROKMK 2026 - All rights reserved.
# Generated with Routes-Generator for SIP by ROKMK.
#
# Route Info:
# Line: 0   Direction: Dajwór   Stops amount: 12   Route changed: True
# Line operator: MPK S.A. w Krakowie   Vehicle type: Tram
Lp;Nazwa;Audio;Kierunek;Extras;Czas
1;Salwator 01;Salwator;Dajwór;;0
2;Salwator 02;Salwator;;;1
3;Komorowskiego 02;Komorowskiego;;;2
4;Jubilat 02;Jubilat;;;3
5;Filharmonia 02;Filharmonia;;;6
6;Teatr Bagatela 01;Teatr Bagatela;;;8
7;Stary Kleparz 02;Stary Kleparz;;;10
8;Teatr Słowackiego 02;Teatr Słowackiego;;;12
9;Poczta Główna 01;Poczta Główna;;;14
10;Starowiślna 02;Starowiślna;;;16
11;Miodowa 01;Miodowa;;;18
12;Dajwór 91;Dajwór;;koniec_trasy;20
# Generated at 2026-05-01 21:07
