# Copyright:
# (c) ROKMK 2026 - All rights reserved.
# Generated with Routes-Generator for SIP by ROKMK.
#
# Route Info:
# Line: 0   Direction: Salwator   Stops amount: 13   Route changed: True
# Line operator: MPK S.A. w Krakowie   Vehicle type: Tram
Lp;Nazwa;Audio;Kierunek;Extras;Czas
1;Dajwór 01;Dajwór;Salwator;;0
2;Plac Bohaterów Getta 01;Plac Bohaterów Getta;;;3
3;Korona 02;Korona;;;6
4;Plac Wolnica 02;Plac Wolnica;;;8
5;Stradom 04;Stradom;;;10
6;Wawel 01;Wawel;;;12
7;św. Gertrudy 01;Św. Gertrudy;;;13
8;Plac Wszystkich Świętych 01;Plac Wszystkich Świętych;;;15
9;Filharmonia 01;Filharmonia;;;17
10;Jubilat 01;Jubilat;;;19
11;Komorowskiego 01;Komorowskiego;;;21
12;Salwator 03;Salwator;;;22
13;Salwator 91;Salwator;;koniec_trasy;23
# Generated at 2026-05-01 21:04
