Lp;Nazwa;Audio;Kierunek
1;Pleszów 01;Pleszów;Dworzec Towarowy
2;Koksochemia (NŻ) 02;Koksochemia;
3;Meksyk (NŻ) 02;Meksyk;
4;Brama nr 5 (NŻ) 02;Brama nr 5;
5;Giedroycia (NŻ) 02;Giedroycia;
6;Brama nr 4 (NŻ) 02;Brama nr 4;
7;Fort Mogiła (NŻ) 02;Fort Mogiła;
8;Bardosa 02;Bardosa;
9;Suche Stawy 02;Suche Stawy;
10;Klasztorna 02;Klasztorna;
11;Os. Na Skarpie 02;Os. Na Skarpie;
12;Plac Centralny im. R.Reagana 01;Plac Centralny im. R.Reagana;
13;Os. Kolorowe 02;Os. Kolorowe;
14;Rondo Czyżyńskie 04;Rondo Czyżyńskie;
15;Gałczyńskiego 02;Gałczyńskiego;
16;Rondo 308. Dywizjonu 02;Rondo 308. Dywizjonu;
17;Ogród Doświadczeń 02;Ogród Doświadczeń;
18;TAURON Arena Kraków al. Pokoju 02;TAURON Arena Kraków Al. Pokoju;
19;Dąbie 02;Dąbie;
20;Ofiar Dąbia 02;Ofiar Dąbia;
21;Fabryczna 02;Fabryczna;
22;Nullo 02;Nullo;
23;Teatr Variété 02;Teatr Variété;
24;Rondo Grzegórzeckie 03;Rondo Grzegórzeckie;
25;Rondo Mogilskie 04;Rondo Mogilskie;
26;Lubicz 01;Lubicz;
27;Teatr Słowackiego 01;Teatr Słowackiego;
28;Stary Kleparz 01;Stary Kleparz;
29;Pędzichów 01;Pędzichów;
30;Nowy Kleparz 01;Nowy Kleparz;
31;Dworzec Towarowy 93;Dworzec Towarowy;
