Lp;Nazwa;Audio;Kierunek;Extras
1;Dworzec Towarowy 03;Dworzec Towarowy;Pleszów;
2;Nowy Kleparz 02;Nowy Kleparz;;
3;Pędzichów 02;Pędzichów;;
4;Stary Kleparz 03;Stary Kleparz;;
5;Teatr Słowackiego 02;Teatr Słowackiego;;
6;Lubicz 02;Lubicz;;
7;Rondo Mogilskie 03;Rondo Mogilskie;;
8;Rondo Grzegórzeckie 01;Rondo Grzegórzeckie;;
9;Teatr Variété 01;Teatr Variété;;
10;Nullo 01;Nullo;;
11;Fabryczna 01;Fabryczna;;
12;Ofiar Dąbia 01;Ofiar Dąbia;;
13;Dąbie 01;Dąbie;;
14;TAURON Arena Kraków al. Pokoju 01;TAURON Arena Kraków Al. Pokoju;;
15;Ogród Doświadczeń 01;Ogród Doświadczeń;;
16;Rondo 308. Dywizjonu 01;Rondo 308. Dywizjonu;;
17;Gałczyńskiego 01;Gałczyńskiego;;
18;Rondo Czyżyńskie 01;Rondo Czyżyńskie;;
19;Os. Kolorowe 01;Os. Kolorowe;;
20;Plac Centralny im. R.Reagana 04;Plac Centralny im. R.Reagana;;
21;Os. Na Skarpie 01;Os. Na Skarpie;;
22;Klasztorna 01;Klasztorna;;
23;Suche Stawy 01;Suche Stawy;;
24;Bardosa 01;Bardosa;;
25;Fort Mogiła (NŻ) 01;Fort Mogiła;;
26;Brama nr 4 (NŻ) 01;Brama nr 4;;
27;Giedroycia (NŻ) 01;Giedroycia;;
28;Brama nr 5 (NŻ) 01;Brama nr 5;;
29;Meksyk (NŻ) 01;Meksyk;;
30;Koksochemia (NŻ) 01;Koksochemia;;
31;Pleszów 91;Pleszów;;koniec_trasy
