# Copyright:
# (c) ROKMK 2026 - All rights reserved.
# Generated with Routes-Generator for SIP by ROKMK.
#
# Route Info:
# Line: 23   Direction: Nowy Bieżanów P+R   Stops amount: 22   Route changed: False
# Line operator: MPK S.A. w Krakowie   Vehicle type: Tram
Lp;Nazwa;Audio;Kierunek;Extras
1;Borek Fałęcki 01;Borek Fałęcki;Nowy Bieżanów P+R;
2;Solvay 02;Solvay;;
3;Kościuszkowców 02;Kościuszkowców;;
4;Łagiewniki SKA 02;Łagiewniki SKA;;
5;Łagiewniki 02;Łagiewniki;;
6;Rzemieślnicza 02;Rzemieślnicza;;
7;Rondo Matecznego 02;Rondo Matecznego;;
8;Smolki 02;Smolki;;
9;Korona 01;Korona;;
10;Limanowskiego 01;Limanowskiego;;
11;Podgórze SKA 01;Podgórze SKA;;
12;Cmentarz Podgórski 01;Cmentarz Podgórski;;
13;Dworcowa 01;Dworcowa;;
14;Kabel 01;Kabel;;
15;Bieżanowska 01;Bieżanowska;;
16;Wlotowa 01;Wlotowa;;
17;Prokocim 01;Prokocim;;
18;Prokocim Szpital 01;Prokocim Szpital;;
19;Teligi 01;Teligi;;
20;Nowy Prokocim 01;Nowy Prokocim;;
21;Ćwiklińskiej 01;Ćwiklińskiej;;
22;Nowy Bieżanów P+R 91;Nowy Bieżanów P+R;;koniec_trasy
# Generated at 2026-04-17 17:08
