Lp;Nazwa;Audio;Kierunek
1;Kurdwanów P+R 01;Kurdwanów P+R;Krowodrza Górka P+R
2;Witosa 02;Witosa;
3;Nowosądecka 02;Nowosądecka;
4;Piaski Nowe 02;Piaski Nowe;
5;Dauna 02;Dauna;
6;Bieżanowska 04;Bieżanowska;
7;Kabel 02;Kabel;
8;Dworcowa 02;Dworcowa;
9;Cmentarz Podgórski 02;Cmentarz Podgórski;
10;Podgórze SKA 02;Podgórze SKA;
11;Plac Bohaterów Getta 02;Plac Bohaterów Getta;
12;św. Wawrzyńca 02;Św. Wawrzyńca;
13;Miodowa 02;Miodowa;
14;Starowiślna 01;Starowiślna;
15;Poczta Główna 02;Poczta Główna;
16;Teatr Słowackiego 03;Teatr Słowackiego;
17;Dworzec Główny Zachód 02;Dworzec Główny Zachód;
18;Politechnika 01;Politechnika;
19;Dworzec Towarowy 01;Dworzec Towarowy;
20;Szpital Narutowicza 01;Szpital Narutowicza;
21;Bratysławska 01;Bratysławska;
22;Krowodrza Górka P+R 93;Krowodrza Górka P+R;
