Lp;Nazwa;Audio;Kierunek;Extras
1;Krowodrza Górka P+R 03;Krowodrza Górka P+R;Kurdwanów P+R;
2;Krowodrza Górka P+R 02;Krowodrza Górka P+R;;
3;Bratysławska 02;Bratysławska;;
4;Szpital Narutowicza 02;Szpital Narutowicza;;
5;Dworzec Towarowy 02;Dworzec Towarowy;;
6;Politechnika 02;Politechnika;;
7;Dworzec Główny Zachód 01;Dworzec Główny Zachód;;
8;Teatr Słowackiego 04;Teatr Słowackiego;;
9;Poczta Główna 01;Poczta Główna;;
10;Starowiślna 02;Starowiślna;;
11;Miodowa 01;Miodowa;;
12;św. Wawrzyńca 01;Św. Wawrzyńca;;
13;Plac Bohaterów Getta 01;Plac Bohaterów Getta;;
14;Podgórze SKA 01;Podgórze SKA;;
15;Cmentarz Podgórski 01;Cmentarz Podgórski;;
16;Dworcowa 01;Dworcowa;;
17;Kabel 01;Kabel;;
18;Bieżanowska 03;Bieżanowska;;
19;Dauna 01;Dauna;;
20;Piaski Nowe 01;Piaski Nowe;;
21;Nowosądecka 01;Nowosądecka;;
22;Witosa 01;Witosa;;
23;Kurdwanów P+R 91;Kurdwanów P+R;;koniec_trasy
