# Copyright:
# (c) ROKMK 2026 - All rights reserved.
# Generated with Routes-Generator for SIP by ROKMK.
#
# Route Info:
# Line: 40   Direction: Zajezdnia Nowa Huta   Stops amount: 27   Route changed: False
# Line operator: MPK S.A. w Krakowie   Vehicle type: Tram
Lp;Nazwa;Audio;Kierunek;Extras
1;Łagiewniki 02;Łagiewniki;Zajezdnia Nowa Huta;
2;Rzemieślnicza 02;Rzemieślnicza;;
3;Rondo Matecznego 02;Rondo Matecznego;;
4;Smolki 02;Smolki;;
5;Korona 01;Korona;;
6;Plac Wolnica 02;Plac Wolnica;;
7;Stradom 04;Stradom;;
8;Wawel 01;Wawel;;
9;Poczta Główna 03;Poczta Główna;;
10;Teatr Słowackiego 03;Teatr Słowackiego;;
11;Lubicz 02;Lubicz;;
12;Rondo Mogilskie 02;Rondo Mogilskie;;
13;Cystersów 01;Cystersów;;
14;Białucha 01;Białucha;;
15;TAURON Arena Kraków Wieczysta 01;TAURON Arena Kraków Wieczysta;;
16;Muzeum Lotnictwa Polskiego 01;Muzeum Lotnictwa Polskiego;;
17;AKF / PK 01;AKF PK;;
18;Stella-Sawickiego 01;Stella-Sawickiego;;
19;Czyżyny 01;Czyżyny;;
20;Rondo Czyżyńskie 01;Rondo Czyżyńskie;;
21;Os. Kolorowe 01;Os. Kolorowe;;
22;Plac Centralny im. R.Reagana 03;Plac Centralny im. R.Reagana;;
23;Struga 01;Struga;;
24;Zalew Nowohucki 01;Zalew Nowohucki;;
25;Kombinat 01;Kombinat;;
26;Zajezdnia Nowa Huta 02;Zajezdnia Nowa Huta;;
27;Zajezdnia Nowa Huta 01;Zajezdnia Nowa Huta;;koniec_trasy
# Generated at 2026-04-17 17:10
