Lp;Nazwa;Audio;Kierunek;Extras
1;Zajezdnia Nowa Huta 01;Zajezdnia Nowa Huta;Łagiewniki;
2;Kombinat 02;Kombinat;;
3;Zalew Nowohucki 02;Zalew Nowohucki;;
4;Struga 02;Struga;;
5;Plac Centralny im. R.Reagana 01;Plac Centralny im. R.Reagana;;
6;Os. Kolorowe 02;Os. Kolorowe;;
7;Rondo Czyżyńskie 02;Rondo Czyżyńskie;;
8;Czyżyny 02;Czyżyny;;
9;Stella-Sawickiego 02;Stella-Sawickiego;;
10;AKF / PK 02;AKF PK;;
11;Muzeum Lotnictwa Polskiego 02;Muzeum Lotnictwa Polskiego;;
12;TAURON Arena Kraków Wieczysta 02;TAURON Arena Kraków Wieczysta;;
13;Białucha 02;Białucha;;
14;Cystersów 02;Cystersów;;
15;Rondo Mogilskie 01;Rondo Mogilskie;;
16;Lubicz 01;Lubicz;;
17;Teatr Słowackiego 01;Teatr Słowackiego;;
18;Poczta Główna 01;Poczta Główna;;
19;św. Gertrudy 02;Św. Gertrudy;;
20;Wawel 02;Wawel;;
21;Stradom 02;Stradom;;
22;Plac Wolnica 01;Plac Wolnica;;
23;Korona 03;Korona;;
24;Smolki 01;Smolki;;
25;Rondo Matecznego 01;Rondo Matecznego;;
26;Rzemieślnicza 01;Rzemieślnicza;;
27;Łagiewniki 01;Łagiewniki;;koniec_trasy
