# Copyright:
# (c) ROKMK 2026 - All rights reserved.
# Generated with Routes-Generator for SIP by ROKMK.
#
# Route Info:
# Line: 45   Direction: Kopiec Wandy   Stops amount: 25   Route changed: False
# Line operator: MPK S.A. w Krakowie   Vehicle type: Tram
Lp;Nazwa;Audio;Kierunek;Extras
1;Krowodrza Górka P+R 03;Krowodrza Górka P+R;Kopiec Wandy;
2;Krowodrza Górka P+R 02;Krowodrza Górka P+R;;
3;Bratysławska 02;Bratysławska;;
4;Szpital Narutowicza 02;Szpital Narutowicza;;
5;Dworzec Towarowy 03;Dworzec Towarowy;;
6;Nowy Kleparz 02;Nowy Kleparz;;
7;Pędzichów 02;Pędzichów;;
8;Stary Kleparz 03;Stary Kleparz;;
9;Teatr Słowackiego 02;Teatr Słowackiego;;
10;Lubicz 02;Lubicz;;
11;Rondo Mogilskie 02;Rondo Mogilskie;;
12;Cystersów 01;Cystersów;;
13;Białucha 01;Białucha;;
14;TAURON Arena Kraków Wieczysta 01;TAURON Arena Kraków Wieczysta;;
15;Muzeum Lotnictwa Polskiego 01;Muzeum Lotnictwa Polskiego;;
16;AKF / PK 01;AKF PK;;
17;Stella-Sawickiego 01;Stella-Sawickiego;;
18;Czyżyny 01;Czyżyny;;
19;Rondo Czyżyńskie 01;Rondo Czyżyńskie;;
20;Os. Kolorowe 01;Os. Kolorowe;;
21;Plac Centralny im. R.Reagana 03;Plac Centralny im. R.Reagana;;
22;Struga 01;Struga;;
23;Zalew Nowohucki 01;Zalew Nowohucki;;
24;Kombinat 01;Kombinat;;
25;Kopiec Wandy 92;Kopiec Wandy;;koniec_trasy
# Generated at 2026-04-17 17:10
