# Copyright:
# (c) ROKMK 2026 - All rights reserved.
# Generated with Routes-Generator for SIP by ROKMK.
#
# Route Info:
# Line: 66   Direction: Salwator   Stops amount: 19   Route changed: False
# Line operator: MPK S.A. w Krakowie   Vehicle type: Tram
Lp;Nazwa;Audio;Kierunek;Extras
1;Prokocim 03;Prokocim;Salwator;
2;Wlotowa 02;Wlotowa;;
3;Bieżanowska 02;Bieżanowska;;
4;Kabel 02;Kabel;;
5;Dworcowa 02;Dworcowa;;
6;Cmentarz Podgórski 02;Cmentarz Podgórski;;
7;Podgórze SKA 02;Podgórze SKA;;
8;Limanowskiego 02;Limanowskiego;;
9;Korona 02;Korona;;
10;Plac Wolnica 02;Plac Wolnica;;
11;Stradom 04;Stradom;;
12;Wawel 01;Wawel;;
13;św. Gertrudy 01;Św. Gertrudy;;
14;Plac Wszystkich Świętych 01;Plac Wszystkich Świętych;;
15;Filharmonia 01;Filharmonia;;
16;Jubilat 01;Jubilat;;
17;Komorowskiego 01;Komorowskiego;;
18;Salwator 03;Salwator;;
19;Salwator 91;Salwator;;koniec_trasy
# Generated at 2026-04-17 17:11
