Lp;Nazwa;Audio;Kierunek;Extras
1;Łagiewniki 02;Łagiewniki;Bronowice Małe;
2;Rzemieślnicza 02;Rzemieślnicza;;
3;Rondo Matecznego 02;Rondo Matecznego;;
4;Smolki 02;Smolki;;
5;Korona 01;Korona;;
6;Plac Wolnica 02;Plac Wolnica;;
7;Stradom 04;Stradom;;
8;Wawel 01;Wawel;;
9;Poczta Główna 03;Poczta Główna;;
10;Teatr Słowackiego 03;Teatr Słowackiego;;
11;Stary Kleparz 01;Stary Kleparz;;
12;Teatr Bagatela 02;Teatr Bagatela;;
13;Stefana Batorego 01;Stefana Batorego;;
14;Plac Inwalidów 01;Plac Inwalidów;;
15;Urzędnicza 01;Urzędnicza;;
16;Biprostal 01;Biprostal;;
17;UKEN 01;UKEN;;
18;Głowackiego 01;Głowackiego;;
19;Bronowice 03;Bronowice;;
20;Wesele 01;Wesele;;
21;Bronowice SKA 01;Bronowice SKA;;
22;Bronowice Małe 91;Bronowice Małe;;koniec_trasy
