# Copyright:
# (c) ROKMK 2026 - All rights reserved.
# Generated with Routes-Generator for SIP by ROKMK.
#
# Route Info:
# Line: 7   Direction: Górka Narodowa P+R   Stops amount: 26   Route changed: False
# Line operator: MPK S.A. w Krakowie   Vehicle type: Tram
Lp;Nazwa;Audio;Kierunek;Extras
1;Dąbie 03;Dąbie;Górka Narodowa P+R;
2;Dąbie 02;Dąbie;;
3;Ofiar Dąbia 02;Ofiar Dąbia;;
4;Fabryczna 02;Fabryczna;;
5;Nullo 02;Nullo;;
6;Teatr Variété 02;Teatr Variété;;
7;Rondo Grzegórzeckie 02;Rondo Grzegórzeckie;;
8;Hala Targowa 02;Hala Targowa;;
9;Starowiślna 04;Starowiślna;;
10;Poczta Główna 02;Poczta Główna;;
11;Teatr Słowackiego 03;Teatr Słowackiego;;
12;Stary Kleparz 02;Stary Kleparz;;
13;Pędzichów 01;Pędzichów;;
14;Nowy Kleparz 01;Nowy Kleparz;;
15;Dworzec Towarowy 01;Dworzec Towarowy;;
16;Szpital Narutowicza 01;Szpital Narutowicza;;
17;Bratysławska 01;Bratysławska;;
18;Krowodrza Górka P+R 01;Krowodrza Górka P+R;;
19;Pachońskiego P+R 01;Pachońskiego P+R;;
20;Białoprądnicka 02;Białoprądnicka;;
21;Górnickiego 02;Górnickiego;;
22;Siewna Wiadukt 01;Siewna Wiadukt;;
23;Bociana 01;Bociana;;
24;Kuźnicy Kołłątajowskiej 01;Kuźnicy Kołłątajowskiej;;
25;Papierni Prądnickich 01;Papierni Prądnickich;;
26;Górka Narodowa P+R 91;Górka Narodowa P+R;;koniec_trasy
# Generated at 2026-04-17 17:07
