# Copyright:
# (c) ROKMK 2026 - All rights reserved.
# Generated with Routes-Generator for SIP by ROKMK.
#
# Route Info:
# Line: 0   Direction: Dajwór   Stops amount: 13   Route changed: False
# Line operator: MPK S.A. w Krakowie   Vehicle type: Tram
Lp;Nazwa;Audio;Kierunek;Extras
1;Cichy Kącik 01;Cichy Kącik;Dajwór;
2;Reymana 02;Reymana;;
3;Park Jordana 02;Park Jordana;;
4;Oleandry 02;Oleandry;;
5;Muzeum Narodowe 02;Muzeum Narodowe;;
6;UJ / AST 02;UJ AST;;
7;Teatr Bagatela 01;Teatr Bagatela;;
8;Stary Kleparz 02;Stary Kleparz;;
9;Teatr Słowackiego 02;Teatr Słowackiego;;
10;Poczta Główna 01;Poczta Główna;;
11;Starowiślna 02;Starowiślna;;
12;Miodowa 01;Miodowa;;
13;Dajwór 91;Dajwór;;
# Generated at 2026-04-17 17:12
