Lp;Nazwa;Audio;Kierunek
1;Cichy Kącik 01;Cichy Kącik;Pleszów
2;Reymana 02;Reymana;
3;Park Jordana 02;Park Jordana;
4;Oleandry 02;Oleandry;
5;Muzeum Narodowe 02;Muzeum Narodowe;
6;UJ / AST 02;UJ AST;
7;Teatr Bagatela 01;Teatr Bagatela;
8;Stary Kleparz 02;Stary Kleparz;
9;Teatr Słowackiego 02;Teatr Słowackiego;
10;Lubicz 02;Lubicz;
11;Rondo Mogilskie 03;Rondo Mogilskie;
12;Rondo Grzegórzeckie 01;Rondo Grzegórzeckie;
13;Teatr Variété 01;Teatr Variété;
14;Nullo 01;Nullo;
15;Fabryczna 01;Fabryczna;
16;Ofiar Dąbia 01;Ofiar Dąbia;
17;Dąbie 01;Dąbie;
18;TAURON Arena Kraków al. Pokoju 01;TAURON Arena Kraków Al. Pokoju;
19;Ogród Doświadczeń 01;Ogród Doświadczeń;
20;Rondo 308. Dywizjonu 01;Rondo 308. Dywizjonu;
21;Gałczyńskiego 01;Gałczyńskiego;
22;Rondo Czyżyńskie 01;Rondo Czyżyńskie;
23;Os. Kolorowe 01;Os. Kolorowe;
24;Plac Centralny im. R.Reagana 04;Plac Centralny im. R.Reagana;
25;Os. Na Skarpie 01;Os. Na Skarpie;
26;Klasztorna 01;Klasztorna;
27;Suche Stawy 01;Suche Stawy;
28;Bardosa 01;Bardosa;
29;Fort Mogiła (NŻ) 01;Fort Mogiła;
30;Brama nr 4 (NŻ) 01;Brama nr 4;
31;Giedroycia (NŻ) 01;Giedroycia;
32;Brama nr 5 (NŻ) 01;Brama nr 5;
33;Meksyk (NŻ) 01;Meksyk;
34;Koksochemia (NŻ) 01;Koksochemia;
35;Pleszów 91;Pleszów;
