Lp;Nazwa;Audio;Kierunek
1;Dąbie 03;Dąbie;Krowodrza Górka P+R
2;Dąbie 02;Dąbie;
3;Ofiar Dąbia 02;Ofiar Dąbia;
4;Fabryczna 02;Fabryczna;
5;Nullo 02;Nullo;
6;Teatr Variété 02;Teatr Variété;
7;Rondo Grzegórzeckie 02;Rondo Grzegórzeckie;
8;Hala Targowa 02;Hala Targowa;
9;Starowiślna 04;Starowiślna;
10;Poczta Główna 02;Poczta Główna;
11;Teatr Słowackiego 03;Teatr Słowackiego;
12;Stary Kleparz 02;Stary Kleparz;
13;Pędzichów 01;Pędzichów;
14;Nowy Kleparz 01;Nowy Kleparz;
15;Dworzec Towarowy 01;Dworzec Towarowy;
16;Szpital Narutowicza 01;Szpital Narutowicza;
17;Bratysławska 01;Bratysławska;
18;Krowodrza Górka P+R 93;Krowodrza Górka P+R;
