Lp;Nazwa;Audio;Kierunek;Extras
1;Krowodrza Górka P+R 04;Krowodrza Górka P+R;Bielany;
2;Krowodrza Urzędy Skarbowe 01;Krowodrza Urzędy Skarbowe;;
3;Wybickiego 02;Wybickiego;;
4;Łobzów SKA 02;Łobzów SKA;;
5;Mazowiecka 01;Mazowiecka;;
6;Biprostal 03;Biprostal;;
7;UKEN 03;UKEN;;
8;Głowackiego 01;Głowackiego;;
9;Miasteczko Studenckie AGH 04;Miasteczko Studenckie AGH;;wrazliwy
10;Cichy Kącik 72;Cichy Kącik;;
11;Piastowska 01;Piastowska;;
12;Tondosa (NŻ) 01;Tondosa;;
13;Lajkonika (NŻ) 01;Lajkonika;;
14;Strzelnica 01;Strzelnica;;
15;Sielanka 01;Sielanka;;
16;Park Decjusza 01;Park Decjusza;;
17;Kasztanowa 01;Kasztanowa;;
18;Kopalina (NŻ) 01;Kopalina;;
19;Zielony Dół 01;Zielony Dół;;
20;Chełm 02;Chełm;;
21;Chełmska (NŻ) 02;Chełmska;;
22;Rzepichy (NŻ) 02;Rzepichy;;
23;Kosmowskiej (NŻ) 02;Kosmowskiej;;
24;Zakamycze 02;Zakamycze;;
25;Obserwatorium (NŻ) 01;Obserwatorium;;
26;Cmentarz Bielany (NŻ) 01;Cmentarz Bielany;;
27;Bielany Szkoła 01;Bielany Szkoła;;
28;Bielany 01;Bielany;;
