# Copyright:
# (c) ROKMK 2026 - All rights reserved.
# Generated with Routes-Generator for SIP by ROKMK.
#
# Route Info:
# Line: 102   Direction: Krowodrza Górka P+R   Stops amount: 30   Route changed: True
# Line operator: MPK S.A. w Krakowie   Vehicle type: Bus
Lp;Nazwa;Audio;Kierunek;Extras
1;Bielany 01;Bielany;Krowodrza Górka P+R;
2;Bielany Szkoła 04;Bielany Szkoła;;
3;Cmentarz Bielany (NŻ) 02;Cmentarz Bielany;;
4;Obserwatorium (NŻ) 02;Obserwatorium;;
5;Zakamycze 01;Zakamycze;;
6;Kosmowskiej (NŻ) 01;Kosmowskiej;;
7;Rzepichy (NŻ) 01;Rzepichy;;
8;Chełmska (NŻ) 01;Chełmska;;
9;Chełm 01;Chełm;;
10;Zielony Dół 02;Zielony Dół;;
11;Kopalina (NŻ) 02;Kopalina;;
12;Kasztanowa 02;Kasztanowa;;
13;Park Decjusza 02;Park Decjusza;;
14;Sielanka 02;Sielanka;;
15;Strzelnica 02;Strzelnica;;
16;Lajkonika (NŻ) 02;Lajkonika;;
17;Tondosa (NŻ) 02;Tondosa;;
18;Owcy-Orwicza 02;Owcy-Orwicza;;
19;Piastowska 02;Piastowska;;
20;Cracovia Błonia 01;Cracovia Błonia;;
21;Cichy Kącik 75;Cichy Kącik;;
22;Miasteczko Studenckie AGH 03;Miasteczko Studenckie AGH;;wrazliwy
23;UKEN 04;UKEN;;
24;Biprostal 04;Biprostal;;
25;Mazowiecka 02;Mazowiecka;;
26;Łobzów SKA 01;Łobzów SKA;;
27;Wybickiego 01;Wybickiego;;
28;Krowodrza Urzędy Skarbowe 02;Krowodrza Urzędy Skarbowe;;
29;Krowodrza Górka P+R 07;Krowodrza Górka P+R;;
30;Krowodrza Górka P+R 04;Krowodrza Górka P+R;;
# Generated at 2026-04-17 16:59
