# Copyright:
# (c) ROKMK 2026 - All rights reserved.
# Generated with Routes-Generator for SIP by ROKMK.
#
# Route Info:
# Line: 104   Direction: Czerwone Maki P+R   Stops amount: 14   Route changed: False
# Line operator: MPK S.A. w Krakowie   Vehicle type: Bus
Lp;Nazwa;Audio;Kierunek;Extras
1;Swoszowice SKA 02;Swoszowice SKA;Czerwone Maki P+R;
2;Kąpielowa (NŻ) 03;Kąpielowa;;
3;Zawiszy 01;Zawiszy;;
4;Forteczna 01;Forteczna;;
5;Kliny Zacisze 02;Kliny Zacisze;;
6;Os. Pod Fortem 02;Os. Pod Fortem;;
7;Kliny Zacisze 01;Kliny Zacisze;;
8;Borkowska 02;Borkowska;;
9;Zawiła (NŻ) 01;Zawiła;;
10;Komuny Paryskiej 01;Komuny Paryskiej;;
11;Kobierzyn 02;Kobierzyn;;
12;Babińskiego 03;Babińskiego;;
13;Bunscha 01;Bunscha;;
14;Czerwone Maki P+R 04;Czerwone Maki P+R;;koniec_trasy
# Generated at 2026-04-18 00:31
