# Copyright:
# (c) ROKMK 2026 - All rights reserved.
# Generated with Routes-Generator for SIP by ROKMK.
#
# Route Info:
# Line: 124   Direction: TAURON Arena Kraków Wieczysta   Stops amount: 20   Route changed: True
# Line operator: MPK S.A. w Krakowie   Vehicle type: Bus
Lp;Nazwa;Audio;Kierunek;Extras
1;Os. Podwawelskie 01;Os. Podwawelskie;TAURON Arena Kraków Wieczysta;
2;Rondo Grunwaldzkie 02;Rondo Grunwaldzkie;;
3;Rondo Grunwaldzkie 04;Rondo Grunwaldzkie;;
4;Konopnickiej 02;Konopnickiej;;
5;Jubilat 03;Jubilat;;
6;Muzeum Narodowe 05;Muzeum Narodowe;;
7;AGH / UR 01;AGH UR;;
8;Stefana Batorego 02;Stefana Batorego;;
9;Teatr Bagatela 03;Teatr Bagatela;;
10;Stary Kleparz 02;Stary Kleparz;;
11;Teatr Słowackiego 02;Teatr Słowackiego;;
12;Lubicz 02;Lubicz;;
13;Rondo Mogilskie 06;Rondo Mogilskie;;
14;Cmentarz Rakowicki 03;Cmentarz Rakowicki;;
15;Narzymskiego 01;Narzymskiego;;
16;Pilotów 01;Pilotów;;
17;Akacjowa 01;Akacjowa;;
18;Spadochroniarzy 02;Spadochroniarzy;;
19;Ugorek 02;Ugorek;;
20;TAURON Arena Kraków Wieczysta 05;TAURON Arena Kraków Wieczysta;;
# Generated at 2026-04-17 17:14
