Lp;Nazwa;Audio;Kierunek;Extras
1;Młynka Pętla 01;Młynka Pętla;Bronowice Małe;
2;Młynka Kalwaryjska (NŻ) 02;Młynka Kalwaryjska;;
3;Rudawa Młyn (NŻ) 02;Rudawa Młyn;;
4;Rudawa Stadion (NŻ) 01;Rudawa Stadion;;
5;Rudawa Rynek 01;Rudawa Rynek;;
6;Rudawa PKP 02;Rudawa PKP;;
7;Rudawa Stadion (NŻ) 02;Rudawa Stadion;;
8;Kochanów Sowiarka (NŻ) 02;Kochanów Sowiarka;;
9;Kochanów Centrum 01;Kochanów Centrum;;
10;Zabierzów Wrzosowa (NŻ) 02;Zabierzów Wrzosowa;;
11;Zabierzów Ośrodek Zdrowia 02;Zabierzów Ośrodek Zdrowia;;
12;Zabierzów Piaski (NŻ) 02;Zabierzów Piaski;;
13;Zabierzów Kamieniołom 01;Zabierzów Kamieniołom;;
14;Zabierzów Centrum 02;Zabierzów Centrum;;
15;Zabierzów Kmity 04;Zabierzów Kmity;;
16;Zabierzów Rzemieślnicza (NŻ) 02;Zabierzów Rzemieślnicza;;
17;Modlniczka Mała 02;Modlniczka Mała;;
18;Modlniczka Leroy Merlin (NŻ) 02;Modlniczka Leroy Merlin;;
19;Rząska Cmentarz (NŻ) 02;Rząska Cmentarz;;ii_strefa
20;Pasternik (NŻ) 01;Pasternik;;
21;Cmentarz Bronowice (NŻ) 01;Cmentarz Bronowice;;
22;Katowicka 01;Katowicka;;
23;Rondo Ofiar Katynia 03;Rondo Ofiar Katynia;;
24;Bronowice SKA 07;Bronowice SKA;;
25;Bronowice Małe 07;Bronowice Małe;;
26;Bronowice Małe 96;Bronowice Małe;;
