Lp;Nazwa;Audio;Kierunek;Extras
1;Bronowice Małe 06;Bronowice Małe;Młynka Pętla;
2;Bronowice SKA 06;Bronowice SKA;;
3;Rondo Ofiar Katynia 02;Rondo Ofiar Katynia;;
4;Katowicka 02;Katowicka;;
5;Cmentarz Bronowice (NŻ) 02;Cmentarz Bronowice;;
6;Pasternik (NŻ) 02;Pasternik;;i_strefa
7;Rząska Cmentarz (NŻ) 03;Rząska Cmentarz;;
8;Rząska Jednostka Wojskowa (NŻ) 01;Rząska Jednostka Wojskowa;;
9;Rząska UR (NŻ) 01;Rząska UR;;
10;Rząska Szkoła 01;Rząska Szkoła;;
11;Rząska Autostrada (NŻ) 01;Rząska Autostrada;;
12;Modlniczka Mała 01;Modlniczka Mała;;
13;Zabierzów Rzemieślnicza (NŻ) 01;Zabierzów Rzemieślnicza;;
14;Zabierzów Willowa 01;Zabierzów Willowa;;
15;Zabierzów Centrum 01;Zabierzów Centrum;;
16;Zabierzów Kamieniołom 02;Zabierzów Kamieniołom;;
17;Zabierzów Piaski (NŻ) 01;Zabierzów Piaski;;
18;Zabierzów Ośrodek Zdrowia 01;Zabierzów Ośrodek Zdrowia;;
19;Zabierzów Wrzosowa (NŻ) 01;Zabierzów Wrzosowa;;
20;Kochanów Centrum 01;Kochanów Centrum;;
21;Kochanów Sowiarka (NŻ) 01;Kochanów Sowiarka;;
22;Rudawa Stadion (NŻ) 81;Rudawa Stadion;;
23;Rudawa PKP 01;Rudawa PKP;;
24;Rudawa Rynek 81;Rudawa Rynek;;
25;Rudawa Stadion (NŻ) 04;Rudawa Stadion;;
26;Rudawa Młyn (NŻ) 01;Rudawa Młyn;;
27;Młynka Kalwaryjska (NŻ) 01;Młynka Kalwaryjska;;
28;Młynka Pętla 01;Młynka Pętla;;
