Lp;Nazwa;Audio;Kierunek
1;Bronowice Małe 06;Bronowice Małe;Młynka Pętla
2;Bronowice SKA 06;Bronowice SKA;
3;Rondo Ofiar Katynia 02;Rondo Ofiar Katynia;
4;Katowicka 02;Katowicka;
5;Cmentarz Bronowice (NŻ) 02;Cmentarz Bronowice;
6;Pasternik (NŻ) 02;Pasternik;
7;Rząska Cmentarz (NŻ) 01;Rząska Cmentarz;
8;Modlniczka Leroy Merlin (NŻ) 01;Modlniczka Leroy Merlin;
9;Modlniczka Mała 01;Modlniczka Mała;
10;Zabierzów Rzemieślnicza (NŻ) 01;Zabierzów Rzemieślnicza;
11;Zabierzów Willowa 01;Zabierzów Willowa;
12;Zabierzów Centrum 01;Zabierzów Centrum;
13;Zabierzów Kamieniołom 02;Zabierzów Kamieniołom;
14;Zabierzów Piaski (NŻ) 01;Zabierzów Piaski;
15;Zabierzów Ośrodek Zdrowia 01;Zabierzów Ośrodek Zdrowia;
16;Zabierzów Wrzosowa (NŻ) 01;Zabierzów Wrzosowa;
17;Kochanów Centrum 01;Kochanów Centrum;
18;Kochanów Sowiarka (NŻ) 01;Kochanów Sowiarka;
19;Rudawa Stadion (NŻ) 81;Rudawa Stadion;
20;Rudawa PKP 01;Rudawa PKP;
21;Rudawa Rynek 81;Rudawa Rynek;
22;Rudawa Stadion (NŻ) 04;Rudawa Stadion;
23;Rudawa Młyn (NŻ) 01;Rudawa Młyn;
24;Młynka Kalwaryjska (NŻ) 01;Młynka Kalwaryjska;
25;Młynka Pętla 01;Młynka Pętla;
