# Copyright:
# (c) ROKMK 2026 - All rights reserved.
# Generated with Routes-Generator for SIP by ROKMK.
#
# Route Info:
# Line: 1   Direction: Salwator   Stops amount: 28   Route changed: False
# Line operator: MPK S.A. w Krakowie   Vehicle type: Tram
Lp;Nazwa;Audio;Kierunek;Extras;Czas
1;Wzgórza Krzesławickie 01;Wzgórza Krzesławickie;Salwator;;0
2;Jarzębiny 02;Jarzębiny;;;1
3;Darwina 02;Darwina;;;2
4;Wańkowicza 01;Wańkowicza;;;4
5;Cienista 01;Cienista;;;5
6;Teatr Ludowy 01;Teatr Ludowy;;;6
7;Rondo Kocmyrzowskie im. Ks. Gorzelanego 02;Rondo Kocmyrzowskie im. Ks. Gorzelanego;;;9
8;Bieńczycka 01;Bieńczycka;;;10
9;Rondo Czyżyńskie 04;Rondo Czyżyńskie;;;13
10;Gałczyńskiego 02;Gałczyńskiego;;;14
11;Rondo 308. Dywizjonu 02;Rondo 308. Dywizjonu;;;15
12;Ogród Doświadczeń 02;Ogród Doświadczeń;;;17
13;TAURON Arena Kraków al. Pokoju 02;TAURON Arena Kraków Al. Pokoju;;;18
14;Dąbie 02;Dąbie;;;20
15;Ofiar Dąbia 02;Ofiar Dąbia;;;21
16;Fabryczna 02;Fabryczna;;;22
17;Nullo 02;Nullo;;;23
18;Teatr Variété 02;Teatr Variété;;;24
19;Rondo Grzegórzeckie 02;Rondo Grzegórzeckie;;;27
20;Hala Targowa 02;Hala Targowa;;;29
21;Starowiślna 04;Starowiślna;;;30
22;Poczta Główna 02;Poczta Główna;;;32
23;Plac Wszystkich Świętych 01;Plac Wszystkich Świętych;;;34
24;Filharmonia 01;Filharmonia;;;36
25;Jubilat 01;Jubilat;;;38
26;Komorowskiego 01;Komorowskiego;;;40
27;Salwator 03;Salwator;;;41
28;Salwator 91;Salwator;;koniec_trasy;42
# Generated at 2026-04-20 21:08
