# Copyright:
# (c) ROKMK 2026 - All rights reserved.
# Generated with Routes-Generator for SIP by ROKMK.
#
# Route Info:
# Line: 10   Direction: KURDWANÓW P+R przez Grzegórzecką   Stops amount: 37   Route changed: True
# Line operator: MPK S.A. w Krakowie   Vehicle type: Tram
Lp;Nazwa;Audio;Kierunek;Extras
1;Pleszów 01;Pleszów;KURDWANÓW P+R przez Grzegórzecką;
2;Koksochemia (NŻ) 02;Koksochemia;;
3;Meksyk (NŻ) 02;Meksyk;;
4;Brama nr 5 (NŻ) 02;Brama nr 5;;
5;Giedroycia (NŻ) 02;Giedroycia;;
6;Brama nr 4 (NŻ) 02;Brama nr 4;;
7;Fort Mogiła (NŻ) 02;Fort Mogiła;;
8;Bardosa 02;Bardosa;;
9;Suche Stawy 02;Suche Stawy;;
10;Klasztorna 02;Klasztorna;;
11;Os. Na Skarpie 02;Os. Na Skarpie;;
12;Plac Centralny im. R.Reagana 01;Plac Centralny im. R.Reagana;;
13;Os. Kolorowe 02;Os. Kolorowe;;
14;Rondo Czyżyńskie 02;Rondo Czyżyńskie;;
15;Czyżyny 02;Czyżyny;;
16;Stella-Sawickiego 02;Stella-Sawickiego;;
17;AKF / PK 02;AKF PK;;
18;Muzeum Lotnictwa Polskiego 02;Muzeum Lotnictwa Polskiego;;
19;TAURON Arena Kraków Wieczysta 02;TAURON Arena Kraków Wieczysta;;
20;Białucha 02;Białucha;;
21;Cystersów 02;Cystersów;;
22;Rondo Mogilskie 03;Rondo Mogilskie;;
23;Rondo Grzegórzeckie 02;Rondo Grzegórzeckie;;
24;Hala Targowa 02;Hala Targowa;;
25;Starowiślna 04;Starowiślna;;
26;Stradom 03;Stradom;;
27;Plac Wolnica 01;Plac Wolnica;;
28;Korona 03;Korona;;
29;Smolki 01;Smolki;;
30;Rondo Matecznego 01;Rondo Matecznego;;
31;Rzemieślnicza 01;Rzemieślnicza;;
32;Łagiewniki 01;Łagiewniki;;
33;Łagiewniki ZUS 01;Łagiewniki ZUS;;
34;Łagiewniki SKA 05;Łagiewniki SKA;;
35;Sanktuarium Bożego Miłosierdzia 01;Sanktuarium Bożego Miłosierdzia;;
36;Turowicza 01;Turowicza;;
37;Kurdwanów P+R 90;Kurdwanów P+R;;koniec_trasy
# Generated at 2026-04-17 15:51
