Lp;Nazwa;Audio
1;Kurdwanów P+R 10;Kurdwanów P+R
2;Turowicza 02;Turowicza
3;Sanktuarium Bożego Miłosierdzia 02;Sanktuarium Bożego Miłosierdzia
4;Łagiewniki SKA 02;Łagiewniki SKA
5;Łagiewniki 02;Łagiewniki 02
6;Rzemieślnicza 02;Rzemieślnicza
7;Rondo Matecznego 02;Rondo Matecznego
8;Smolki 02;Smolki
9;Korona 01;Korona
10;Plac Wolnica 02;Plac Wolnica
11;Stradom 04;Stradom
12;Starowiślna 03;Starowiślna
13;Hala Targowa 01;Hala Targowa
14;Rondo Grzegórzeckie 03;Rondo Grzegórzeckie
15;Rondo Mogilskie 02;Rondo Mogilskie
16;Cystersów 01;Cystersów
17;Białucha 01;Białucha
18;TAURON Arena Kraków Wieczysta 01;TAURON Arena Kraków Wieczysta
19;Muzeum Lotnictwa Polskiego 01;Muzeum Lotnictwa Polskiego
20;AKF / PK 01;AKF PK
21;Stella-Sawickiego 01;Stella-Sawickiego
22;Czyżyny 01;Czyżyny
23;Rondo Czyżyńskie 01;Rondo Czyżyńskie
24;Os. Kolorowe 01;Os. Kolorowe
25;Plac Centralny im. R.Reagana 04;Plac Centralny im. R.Reagana
26;Os. Na Skarpie 01;Os. Na Skarpie
27;Klasztorna 01;Klasztorna
28;Suche Stawy 01;Suche Stawy
29;Bardosa 01;Bardosa
30;Fort Mogiła (NŻ) 01;Fort Mogiła NŻ
31;Brama nr 4 (NŻ) 01;Brama nr 4 NŻ
32;Giedroycia (NŻ) 01;Giedroycia NŻ
33;Brama nr 5 (NŻ) 01;Brama nr 5 NŻ
34;Meksyk (NŻ) 01;Meksyk NŻ
35;Koksochemia (NŻ) 01;Koksochemia NŻ
36;Pleszów 01;Pleszów
