# Copyright:
# (c) ROKMK 2026 - All rights reserved.
# Generated with Routes-Generator for SIP by ROKMK.
#
# Route Info:
# Line: 11   Direction: Mały Płaszów P+R   Stops amount: 18   Route changed: True
# Line operator: MPK S.A. w Krakowie   Vehicle type: Tram
Lp;Nazwa;Audio;Kierunek;Extras;Czas
1;Borek Fałęcki 01;Borek Fałęcki;Mały Płaszów P+R;;0
2;Solvay 02;Solvay;;;1
3;Kościuszkowców 02;Kościuszkowców;;;2
4;Łagiewniki SKA 03;Łagiewniki SKA;;;4
5;Sanktuarium Bożego Miłosierdzia 01;Sanktuarium Bożego Miłosierdzia;;;5
6;Turowicza 01;Turowicza;;;7
7;Kurdwanów P+R 03;Kurdwanów P+R;;;8
8;Kurdwanów P+R 01;Kurdwanów P+R;;;10
9;Witosa 02;Witosa;;;11
10;Nowosądecka 02;Nowosądecka;;;12
11;Piaski Nowe 02;Piaski Nowe;;;13
12;Dauna 02;Dauna;;;15
13;Bieżanowska 04;Bieżanowska;;;17
14;Kabel 02;Kabel;;;19
15;Dworzec Płaszów Estakada 01;Dworzec Płaszów Estakada;;;21
16;Lipska 01;Lipska;;;24
17;Rzebika 01;Rzebika;;;25
18;Mały Płaszów P+R 91;Mały Płaszów P+R;;koniec_trasy;27
# Generated at 2026-04-26 13:22
