Lp;Nazwa;Audio
1;Salwator 01;Salwator
2;Salwator 02;Salwator
3;Komorowskiego 02;Komorowskiego
4;Jubilat 02;Jubilat
5;Filharmonia 02;Filharmonia
6;Plac Wszystkich Świętych 02;Plac Wszystkich Świętych
7;św. Gertrudy 02;Św. Gertrudy
8;Wawel 02;Wawel
9;Stradom 02;Stradom
10;Plac Wolnica 01;Plac Wolnica
11;Korona 03;Korona
12;Limanowskiego 01;Limanowskiego
13;Podgórze SKA 01;Podgórze SKA
14;Cmentarz Podgórski 01;Cmentarz Podgórski
15;Dworcowa 01;Dworcowa
16;Kabel 01;Kabel
17;Bieżanowska 01;Bieżanowska
18;Wlotowa 01;Wlotowa
19;Prokocim 01;Prokocim
20;Prokocim Szpital 01;Prokocim Szpital
21;Teligi 01;Teligi
22;Nowy Prokocim 01;Nowy Prokocim
23;Ćwiklińskiej 01;Ćwiklińskiej
24;Nowy Bieżanów P+R 91;Nowy Bieżanów P+R
