Lp;Nazwa;Audio
1;Mistrzejowice 04;Mistrzejowice
2;Miśnieńska 02;Miśnieńska
3;Os. Złotego Wieku 02;Os. Złotego Wieku
4;Rondo Piastowskie 02;Rondo Piastowskie
5;Dunikowskiego 02;Dunikowskiego
6;Rondo Hipokratesa 02;Rondo Hipokratesa
7;DH Wanda 02;DH Wanda
8;Rondo Kocmyrzowskie im. Ks. Gorzelanego 02;Rondo Kocmyrzowskie im. Ks. Gorzelanego
9;Bieńczycka 01;Bieńczycka
10;Rondo Czyżyńskie 04;Rondo Czyżyńskie
11;Gałczyńskiego 02;Gałczyńskiego
12;Rondo 308. Dywizjonu 02;Rondo 308. Dywizjonu
13;Ogród Doświadczeń 02;Ogród Doświadczeń
14;TAURON Arena Kraków al. Pokoju 02;TAURON Arena Kraków Al. Pokoju
15;Dąbie 02;Dąbie
16;Ofiar Dąbia 02;Ofiar Dąbia
17;Fabryczna 02;Fabryczna
18;Nullo 02;Nullo
19;Teatr Variété 02;Teatr Variété
20;Rondo Grzegórzeckie 03;Rondo Grzegórzeckie
21;Rondo Mogilskie 04;Rondo Mogilskie
22;Lubicz 01;Lubicz
23;Teatr Słowackiego 01;Teatr Słowackiego
24;Stary Kleparz 01;Stary Kleparz
25;Pędzichów 01;Pędzichów
26;Nowy Kleparz 01;Nowy Kleparz
27;Dworzec Towarowy 01;Dworzec Towarowy
