Lp;Nazwa;Audio;Kierunek
1;Mistrzejowice 04;Mistrzejowice;Bardosa
2;Miśnieńska 02;Miśnieńska;
3;Os. Złotego Wieku 02;Os. Złotego Wieku;
4;Rondo Piastowskie 02;Rondo Piastowskie;
5;Dunikowskiego 02;Dunikowskiego;
6;Rondo Hipokratesa 02;Rondo Hipokratesa;
7;DH Wanda 02;DH Wanda;
8;Rondo Kocmyrzowskie im. Ks. Gorzelanego 04;Rondo Kocmyrzowskie im. Ks. Gorzelanego;
9;Os. Zgody 01;Os. Zgody;
10;Plac Centralny im. R.Reagana 04;Plac Centralny im. R.Reagana;
11;Os. Na Skarpie 01;Os. Na Skarpie;
12;Klasztorna 01;Klasztorna;
13;Suche Stawy 01;Suche Stawy;
14;Bardosa 92;Bardosa;
