# Copyright:
# (c) ROKMK 2026 - All rights reserved.
# Generated with Routes-Generator for SIP by ROKMK.
#
# Route Info:
# Line: 16   Direction: Zajezdnia Nowa Huta   Stops amount: 14   Route changed: True
# Line operator: MPK S.A. w Krakowie   Vehicle type: Tram
Lp;Nazwa;Audio;Kierunek;Extras;Czas
1;Mistrzejowice 04;Mistrzejowice;Zajezdnia Nowa Huta;;0
2;Miśnieńska 02;Miśnieńska;;;1
3;Os. Złotego Wieku 02;Os. Złotego Wieku;;;2
4;Rondo Piastowskie 02;Rondo Piastowskie;;;3
5;Dunikowskiego 02;Dunikowskiego;;;5
6;Rondo Hipokratesa 02;Rondo Hipokratesa;;;7
7;DH Wanda 02;DH Wanda;;;8
8;Rondo Kocmyrzowskie im. Ks. Gorzelanego 04;Rondo Kocmyrzowskie im. Ks. Gorzelanego;;;11
9;Os. Zgody 01;Os. Zgody;;;12
10;Plac Centralny im. R.Reagana 03;Plac Centralny im. R.Reagana;;;15
11;Struga 01;Struga;;;16
12;Zalew Nowohucki 01;Zalew Nowohucki;;;17
13;Kombinat 01;Kombinat;;;19
14;Zajezdnia Nowa Huta 02;Zajezdnia Nowa Huta;;koniec_trasy;21
# Generated at 2026-05-31 20:00
