# Copyright:
# (c) ROKMK 2026 - All rights reserved.
# Generated with Routes-Generator for SIP by ROKMK.
#
# Route Info:
# Line: 17   Direction: Czerwone Maki P+R   Stops amount: 25   Route changed: False
# Line operator: MPK S.A. w Krakowie   Vehicle type: Tram
Lp;Nazwa;Audio;Kierunek;Extras;Czas
1;Dworzec Towarowy 02;Dworzec Towarowy;Czerwone Maki P+R;;0
2;Politechnika 04;Politechnika;;;2
3;Dworzec Główny Tunel 01;Dworzec Główny Tunel;;;3
4;Rondo Mogilskie 03;Rondo Mogilskie;;;5
5;Rondo Grzegórzeckie 02;Rondo Grzegórzeckie;;;8
6;Hala Targowa 02;Hala Targowa;;;10
7;Starowiślna 04;Starowiślna;;;11
8;Miodowa 01;Miodowa;;;13
9;św. Wawrzyńca 01;Św. Wawrzyńca;;;14
10;Plac Bohaterów Getta 01;Plac Bohaterów Getta;;;17
11;Korona 02;Korona;;;20
12;Smolki 01;Smolki;;;21
13;Rondo Matecznego 01;Rondo Matecznego;;;23
14;Rzemieślnicza 01;Rzemieślnicza;;;25
15;Łagiewniki 01;Łagiewniki;;;27
16;Łagiewniki 05;Łagiewniki;;;29
17;Brożka (NŻ) 02;Brożka;;;30
18;Borsucza 02;Borsucza;;;31
19;Lipińskiego 01;Lipińskiego;;;33
20;Grota-Roweckiego 01;Grota-Roweckiego;;;34
21;Norymberska 01;Norymberska;;;35
22;Ruczaj 01;Ruczaj;;;37
23;Kampus UJ 01;Kampus UJ;;;38
24;Kampus UP JP II 01;Kampus UP JP II;;;39
25;Czerwone Maki P+R 91;Czerwone Maki P+R;;koniec_trasy;41
# Generated at 2026-05-31 20:28
