# Copyright:
# (c) ROKMK 2026 - All rights reserved.
# Generated with Routes-Generator for SIP by ROKMK.
#
# Route Info:
# Line: 17   Direction: Dworzec Towarowy   Stops amount: 25   Route changed: False
# Line operator: MPK S.A. w Krakowie   Vehicle type: Tram
Lp;Nazwa;Audio;Kierunek;Extras;Czas
1;Czerwone Maki P+R 01;Czerwone Maki P+R;Dworzec Towarowy;;0
2;Kampus UP JP II 02;Kampus UP JP II;;;1
3;Kampus UJ 02;Kampus UJ;;;2
4;Ruczaj 02;Ruczaj;;;3
5;Norymberska 02;Norymberska;;;4
6;Grota-Roweckiego 02;Grota-Roweckiego;;;6
7;Lipińskiego 02;Lipińskiego;;;8
8;Borsucza 01;Borsucza;;;9
9;Brożka (NŻ) 01;Brożka;;;10
10;Łagiewniki 04;Łagiewniki;;;11
11;Łagiewniki 02;Łagiewniki;;;13
12;Rzemieślnicza 02;Rzemieślnicza;;;14
13;Rondo Matecznego 02;Rondo Matecznego;;;15
14;Smolki 02;Smolki;;;16
15;Korona 01;Korona;;;18
16;Plac Bohaterów Getta 02;Plac Bohaterów Getta;;;20
17;św. Wawrzyńca 02;Św. Wawrzyńca;;;23
18;Miodowa 02;Miodowa;;;24
19;Starowiślna 03;Starowiślna;;;26
20;Hala Targowa 01;Hala Targowa;;;27
21;Rondo Grzegórzeckie 03;Rondo Grzegórzeckie;;;30
22;Rondo Mogilskie 05;Rondo Mogilskie;;;32
23;Dworzec Główny Tunel 02;Dworzec Główny Tunel;;;34
24;Politechnika 03;Politechnika;;;35
25;Dworzec Towarowy 92;Dworzec Towarowy;;koniec_trasy;38
# Generated at 2026-05-31 20:29
