Lp;Nazwa;Audio;Kierunek;Extras
1;Górka Narodowa P+R 01;Górka Narodowa P+R;Czerwone Maki P+R;
2;Papierni Prądnickich 02;Papierni Prądnickich;;
3;Kuźnicy Kołłątajowskiej 02;Kuźnicy Kołłątajowskiej;;
4;Bociana 02;Bociana;;
5;Siewna Wiadukt 02;Siewna Wiadukt;;
6;Górnickiego 01;Górnickiego;;
7;Białoprądnicka 01;Białoprądnicka;;
8;Pachońskiego P+R 02;Pachońskiego P+R;;
9;Krowodrza Górka P+R 02;Krowodrza Górka P+R;;
10;Bratysławska 02;Bratysławska;;
11;Szpital Narutowicza 02;Szpital Narutowicza;;
12;Dworzec Towarowy 03;Dworzec Towarowy;;
13;Nowy Kleparz 02;Nowy Kleparz;;
14;Pędzichów 02;Pędzichów;;
15;Stary Kleparz 03;Stary Kleparz;;
16;Teatr Słowackiego 02;Teatr Słowackiego;;
17;Poczta Główna 01;Poczta Główna;;
18;św. Gertrudy 02;Św. Gertrudy;;
19;Wawel 02;Wawel;;
20;Stradom 02;Stradom;;
21;Orzeszkowej 01;Orzeszkowej;;
22;Rondo Grunwaldzkie 01;Rondo Grunwaldzkie;;
23;Szwedzka 01;Szwedzka;;
24;Kapelanka 01;Kapelanka;;
25;Słomiana 01;Słomiana;;
26;Kobierzyńska 01;Kobierzyńska;;
27;Lipińskiego 01;Lipińskiego;;
28;Grota-Roweckiego 01;Grota-Roweckiego;;
29;Norymberska 01;Norymberska;;
30;Ruczaj 01;Ruczaj;;
31;Kampus UJ 01;Kampus UJ;;
32;Kampus UP JP II 01;Kampus UP JP II;;
33;Czerwone Maki P+R 91;Czerwone Maki P+R;;koniec_trasy
