# Copyright:
# (c) ROKMK 2026 - All rights reserved.
# Generated with Routes-Generator for SIP by ROKMK.
#
# Route Info:
# Line: 21   Direction: Bardosa   Stops amount: 13   Route changed: True
# Line operator: MPK S.A. w Krakowie   Vehicle type: Tram
Lp;Nazwa;Audio;Kierunek;Extras;Czas
1;Os. Piastów 01;Os. Piastów;Bardosa;;0
2;Piasta Kołodzieja 02;Piasta Kołodzieja;;;1
3;Kleeberga 02;Kleeberga;;;2
4;Dunikowskiego 02;Dunikowskiego;;;4
5;Rondo Hipokratesa 02;Rondo Hipokratesa;;;6
6;DH Wanda 02;DH Wanda;;;7
7;Rondo Kocmyrzowskie im. Ks. Gorzelanego 04;Rondo Kocmyrzowskie im. Ks. Gorzelanego;;;10
8;Os. Zgody 01;Os. Zgody;;;11
9;Plac Centralny im. R.Reagana 04;Plac Centralny im. R.Reagana;;;14
10;Os. Na Skarpie 01;Os. Na Skarpie;;;15
11;Klasztorna 01;Klasztorna;;;17
12;Suche Stawy 01;Suche Stawy;;;18
13;Bardosa 92;Bardosa;;koniec_trasy;19
# Generated at 2026-05-31 20:07
