# Copyright:
# (c) ROKMK 2026 - All rights reserved.
# Generated with Routes-Generator for SIP by ROKMK.
#
# Route Info:
# Line: 21   Direction: Os. Piastów   Stops amount: 13   Route changed: True
# Line operator: MPK S.A. w Krakowie   Vehicle type: Tram
Lp;Nazwa;Audio;Kierunek;Extras;Czas
1;Bardosa 02;Bardosa;Os. Piastów;;0
2;Suche Stawy 02;Suche Stawy;;;1
3;Klasztorna 02;Klasztorna;;;2
4;Os. Na Skarpie 02;Os. Na Skarpie;;;3
5;Plac Centralny im. R.Reagana 02;Plac Centralny im. R.Reagana;;;7
6;Os. Zgody 02;Os. Zgody;;;8
7;Rondo Kocmyrzowskie im. Ks. Gorzelanego 01;Rondo Kocmyrzowskie im. Ks. Gorzelanego;;;11
8;DH Wanda 01;DH Wanda;;;12
9;Rondo Hipokratesa 01;Rondo Hipokratesa;;;14
10;Dunikowskiego 01;Dunikowskiego;;;15
11;Kleeberga 01;Kleeberga;;;17
12;Piasta Kołodzieja 01;Piasta Kołodzieja;;;18
13;Os. Piastów 91;Os. Piastów;;koniec_trasy;20
# Generated at 2026-05-31 20:13
