# Copyright:
# (c) ROKMK 2026 - All rights reserved.
# Generated with Routes-Generator for SIP by ROKMK.
#
# Route Info:
# Line: 21   Direction: Os. Piastów   Stops amount: 13   Route changed: False
# Line operator: MPK S.A. w Krakowie   Vehicle type: Tram
Lp;Nazwa;Audio;Kierunek;Extras
1;Kopiec Wandy 02;Kopiec Wandy;Os. Piastów;
2;Kombinat 03;Kombinat;;
3;Zalew Nowohucki 02;Zalew Nowohucki;;
4;Struga 02;Struga;;
5;Plac Centralny im. R.Reagana 02;Plac Centralny im. R.Reagana;;
6;Os. Zgody 02;Os. Zgody;;
7;Rondo Kocmyrzowskie im. Ks. Gorzelanego 01;Rondo Kocmyrzowskie im. Ks. Gorzelanego;;
8;DH Wanda 01;DH Wanda;;
9;Rondo Hipokratesa 01;Rondo Hipokratesa;;
10;Dunikowskiego 01;Dunikowskiego;;
11;Kleeberga 01;Kleeberga;;
12;Piasta Kołodzieja 01;Piasta Kołodzieja;;
13;Os. Piastów 91;Os. Piastów;;koniec_trasy
# Generated at 2026-04-17 16:00
