# Copyright:
# (c) ROKMK 2026 - All rights reserved.
# Generated with Routes-Generator for SIP by ROKMK.
#
# Route Info:
# Line: 21   Direction: Plac Centralny im. R.Reagana   Stops amount: 9   Route changed: True
# Line operator: MPK S.A. w Krakowie   Vehicle type: Tram
Lp;Nazwa;Audio;Kierunek;Extras;Czas
1;Os. Piastów 01;Os. Piastów;Plac Centralny im. R.Reagana;;0
2;Piasta Kołodzieja 02;Piasta Kołodzieja;;;1
3;Kleeberga 02;Kleeberga;;;2
4;Dunikowskiego 02;Dunikowskiego;;;4
5;Rondo Hipokratesa 02;Rondo Hipokratesa;;;6
6;DH Wanda 02;DH Wanda;;;7
7;Rondo Kocmyrzowskie im. Ks. Gorzelanego 04;Rondo Kocmyrzowskie im. Ks. Gorzelanego;;;10
8;Os. Zgody 01;Os. Zgody;;;11
9;Plac Centralny im. R.Reagana 03;Plac Centralny im. R.Reagana;;koniec_trasy;14
# Generated at 2026-05-31 20:09
