# Copyright:
# (c) ROKMK 2026 - All rights reserved.
# Generated with Routes-Generator for SIP by ROKMK.
#
# Route Info:
# Line: 22   Direction: Borek Fałęcki   Stops amount: 34   Route changed: False
# Line operator: MPK S.A. w Krakowie   Vehicle type: Tram
Lp;Nazwa;Audio;Kierunek;Extras
1;Kopiec Wandy 02;Kopiec Wandy;Borek Fałęcki;
2;Kombinat 03;Kombinat;;
3;Zalew Nowohucki 02;Zalew Nowohucki;;
4;Struga 02;Struga;;
5;Plac Centralny im. R.Reagana 01;Plac Centralny im. R.Reagana;;
6;Os. Kolorowe 02;Os. Kolorowe;;
7;Rondo Czyżyńskie 04;Rondo Czyżyńskie;;
8;Gałczyńskiego 02;Gałczyńskiego;;
9;Rondo 308. Dywizjonu 02;Rondo 308. Dywizjonu;;
10;Ogród Doświadczeń 02;Ogród Doświadczeń;;
11;TAURON Arena Kraków al. Pokoju 02;TAURON Arena Kraków Al. Pokoju;;
12;Dąbie 02;Dąbie;;
13;Ofiar Dąbia 02;Ofiar Dąbia;;
14;Fabryczna 02;Fabryczna;;
15;Nullo 02;Nullo;;
16;Teatr Variété 02;Teatr Variété;;
17;Rondo Grzegórzeckie 02;Rondo Grzegórzeckie;;
18;Hala Targowa 02;Hala Targowa;;
19;Starowiślna 04;Starowiślna;;
20;Stradom 03;Stradom;;
21;Orzeszkowej 01;Orzeszkowej;;
22;Rondo Grunwaldzkie 01;Rondo Grunwaldzkie;;
23;Szwedzka 01;Szwedzka;;
24;Kapelanka 01;Kapelanka;;
25;Słomiana 01;Słomiana;;
26;Kobierzyńska 01;Kobierzyńska;;
27;Borsucza 01;Borsucza;;
28;Brożka (NŻ) 01;Brożka;;
29;Łagiewniki 04;Łagiewniki;;
30;Łagiewniki ZUS 01;Łagiewniki ZUS;;
31;Łagiewniki SKA 05;Łagiewniki SKA;;
32;Kościuszkowców 01;Kościuszkowców;;
33;Solvay 01;Solvay;;
34;Borek Fałęcki 91;Borek Fałęcki;;koniec_trasy
# Generated at 2026-04-17 16:04
