Lp;Nazwa;Audio;Kierunek;Extras
1;Bronowice Małe 01;Bronowice Małe;Kurdwanów P+R;
2;Bronowice SKA 02;Bronowice SKA;;
3;Wesele 02;Wesele;;
4;Bronowice 02;Bronowice;;
5;Głowackiego 02;Głowackiego;;
6;UKEN 02;UKEN;;
7;Biprostal 02;Biprostal;;
8;Urzędnicza 02;Urzędnicza;;
9;Plac Inwalidów 02;Plac Inwalidów;;
10;Stefana Batorego 02;Stefana Batorego;;
11;Teatr Bagatela 03;Teatr Bagatela;;
12;Stary Kleparz 02;Stary Kleparz;;
13;Teatr Słowackiego 02;Teatr Słowackiego;;
14;Poczta Główna 01;Poczta Główna;;
15;Starowiślna 02;Starowiślna;;
16;Miodowa 01;Miodowa;;
17;św. Wawrzyńca 01;Św. Wawrzyńca;;
18;Plac Bohaterów Getta 01;Plac Bohaterów Getta;;
19;Podgórze SKA 01;Podgórze SKA;;
20;Cmentarz Podgórski 01;Cmentarz Podgórski;;
21;Dworcowa 01;Dworcowa;;
22;Kabel 01;Kabel;;
23;Bieżanowska 03;Bieżanowska;;
24;Dauna 01;Dauna;;
25;Piaski Nowe 01;Piaski Nowe;;
26;Nowosądecka 01;Nowosądecka;;
27;Witosa 01;Witosa;;
28;Kurdwanów P+R 91;Kurdwanów P+R;;koniec_trasy
