Lp;Nazwa;Audio
1;Os. Piastów 01;Os. Piastów
2;Piasta Kołodzieja 02;Piasta Kołodzieja
3;Kleeberga 02;Kleeberga
4;Dunikowskiego 02;Dunikowskiego
5;Rondo Hipokratesa 02;Rondo Hipokratesa
6;DH Wanda 02;DH Wanda
7;Rondo Kocmyrzowskie im. Ks. Gorzelanego 02;Rondo Kocmyrzowskie im. Ks. Gorzelanego
8;Bieńczycka 01;Bieńczycka
9;Rondo Czyżyńskie 02;Rondo Czyżyńskie
10;Czyżyny 02;Czyżyny
11;Stella-Sawickiego 02;Stella-Sawickiego
12;AKF / PK 02;AKF PK
13;Muzeum Lotnictwa Polskiego 02;Muzeum Lotnictwa Polskiego
14;TAURON Arena Kraków Wieczysta 02;TAURON Arena Kraków Wieczysta
15;Białucha 02;Białucha
16;Cystersów 02;Cystersów
17;Lubicz 01;Lubicz
18;Teatr Słowackiego 01;Teatr Słowackiego
19;Poczta Główna 01;Poczta Główna
20;Starowiślna 02;Starowiślna
21;Stradom 03;Stradom
22;Orzeszkowej 01;Orzeszkowej
23;Rondo Grunwaldzkie 01;Rondo Grunwaldzkie
24;Szwedzka 01;Szwedzka
25;Kapelanka 01;Kapelanka
26;Słomiana 01;Słomiana
27;Kobierzyńska 01;Kobierzyńska
28;Borsucza 01;Borsucza
29;Brożka (NŻ) 01;Brożka NŻ
30;Łagiewniki 04;Łagiewniki
31;Łagiewniki ZUS 01;Łagiewniki ZUS
32;Łagiewniki SKA 03;Łagiewniki SKA
33;Sanktuarium Bożego Miłosierdzia 01;Sanktuarium Bożego Miłosierdzia
34;Turowicza 01;Turowicza
35;Kurdwanów P+R 90;Kurdwanów P+R
