# Copyright:
# (c) ROKMK 2026 - All rights reserved.
# Generated with Routes-Generator for SIP by ROKMK.
#
# Route Info:
# Line: 49   Direction: Nowy Bieżanów P+R   Stops amount: 20   Route changed: False
# Line operator: MPK S.A. w Krakowie   Vehicle type: Tram
Lp;Nazwa;Audio;Kierunek;Extras
1;TAURON Arena Kraków Wieczysta 02;TAURON Arena Kraków Wieczysta;Nowy Bieżanów P+R;
2;Białucha 02;Białucha;;
3;Cystersów 02;Cystersów;;
4;Rondo Mogilskie 03;Rondo Mogilskie;;
5;Rondo Grzegórzeckie 04;Rondo Grzegórzeckie;;
6;Zabłocie 01;Zabłocie;;
7;Klimeckiego 01;Klimeckiego;;
8;Kuklińskiego 01;Kuklińskiego;;
9;Gromadzka 01;Gromadzka;;
10;Lipska 03;Lipska;;
11;Dworzec Płaszów Estakada 02;Dworzec Płaszów Estakada;;
12;Kabel 01;Kabel;;
13;Bieżanowska 01;Bieżanowska;;
14;Wlotowa 01;Wlotowa;;
15;Prokocim 01;Prokocim;;
16;Prokocim Szpital 01;Prokocim Szpital;;
17;Teligi 01;Teligi;;
18;Nowy Prokocim 01;Nowy Prokocim;;
19;Ćwiklińskiej 01;Ćwiklińskiej;;
20;Nowy Bieżanów P+R 91;Nowy Bieżanów P+R;;koniec_trasy
# Generated at 2026-04-17 16:07
