Lp;Nazwa;Audio;Kierunek;Extras
1;Wzgórza Krzesławickie 01;Wzgórza Krzesławickie;Krowodrza Górka P+R;
2;Jarzębiny 02;Jarzębiny;;
3;Darwina 02;Darwina;;
4;Wańkowicza 01;Wańkowicza;;
5;Cienista 01;Cienista;;
6;Teatr Ludowy 01;Teatr Ludowy;;
7;Rondo Kocmyrzowskie im. Ks. Gorzelanego 02;Rondo Kocmyrzowskie im. Ks. Gorzelanego;;
8;Bieńczycka 01;Bieńczycka;;
9;Rondo Czyżyńskie 02;Rondo Czyżyńskie;;
10;Czyżyny 02;Czyżyny;;
11;Stella-Sawickiego 02;Stella-Sawickiego;;
12;AKF / PK 02;AKF PK;;
13;Muzeum Lotnictwa Polskiego 02;Muzeum Lotnictwa Polskiego;;
14;TAURON Arena Kraków Wieczysta 02;TAURON Arena Kraków Wieczysta;;
15;Białucha 02;Białucha;;
16;Cystersów 02;Cystersów;;
17;Rondo Mogilskie 05;Rondo Mogilskie;;
18;Dworzec Główny Tunel 02;Dworzec Główny Tunel;;
19;Politechnika 03;Politechnika;;
20;Dworzec Towarowy 01;Dworzec Towarowy;;
21;Szpital Narutowicza 01;Szpital Narutowicza;;
22;Bratysławska 01;Bratysławska;;
23;Krowodrza Górka P+R 93;Krowodrza Górka P+R;;koniec_trasy
