Lp;Nazwa;Audio
1;Borek Fałęcki 01;Borek Fałęcki
2;Solvay 02;Solvay
3;Kościuszkowców 02;Kościuszkowców
4;Łagiewniki SKA 03;Łagiewniki SKA
5;Sanktuarium Bożego Miłosierdzia 01;Sanktuarium Bożego Miłosierdzia
6;Turowicza 01;Turowicza
7;Kurdwanów P+R 03;Kurdwanów P+R
8;Kurdwanów P+R 01;Kurdwanów P+R
9;Witosa 02;Witosa
10;Nowosądecka 02;Nowosądecka
11;Piaski Nowe 02;Piaski Nowe
12;Dauna 02;Dauna
13;Bieżanowska 04;Bieżanowska
14;Kabel 02;Kabel
15;Dworzec Płaszów Estakada 01;Dworzec Płaszów Estakada
16;Lipska 02;Lipska
17;Gromadzka 02;Gromadzka
18;Kuklińskiego 02;Kuklińskiego
19;Klimeckiego 02;Klimeckiego
20;Zabłocie 02;Zabłocie
21;Rondo Grzegórzeckie 03;Rondo Grzegórzeckie
22;Rondo Mogilskie 05;Rondo Mogilskie
23;Dworzec Główny Tunel 02;Dworzec Główny Tunel
24;Politechnika 03;Politechnika
25;Dworzec Towarowy 01;Dworzec Towarowy
26;Szpital Narutowicza 01;Szpital Narutowicza
27;Bratysławska 01;Bratysławska
28;Krowodrza Górka P+R 01;Krowodrza Górka P+R
29;Pachońskiego P+R 01;Pachońskiego P+R
30;Białoprądnicka 02;Białoprądnicka
31;Górnickiego 02;Górnickiego
32;Siewna Wiadukt 01;Siewna Wiadukt
33;Bociana 01;Bociana
34;Kuźnicy Kołłątajowskiej 01;Kuźnicy Kołłątajowskiej
35;Papierni Prądnickich 01;Papierni Prądnickich
36;Górka Narodowa P+R 91;Górka Narodowa P+R
