Lp;Nazwa;Audio
1;Kurdwanów P+R 01;Kurdwanów P+R
2;Witosa 02;Witosa
3;Nowosądecka 02;Nowosądecka
4;Piaski Nowe 02;Piaski Nowe
5;Dauna 02;Dauna
6;Bieżanowska 04;Bieżanowska
7;Kabel 02;Kabel
8;Dworzec Płaszów Estakada 01;Dworzec Płaszów Estakada
9;Lipska 02;Lipska
10;Gromadzka 02;Gromadzka
11;Kuklińskiego 02;Kuklińskiego
12;Klimeckiego 02;Klimeckiego
13;Zabłocie 02;Zabłocie
14;Rondo Grzegórzeckie 03;Rondo Grzegórzeckie
15;Rondo Mogilskie 05;Rondo Mogilskie
16;Dworzec Główny Tunel 02;Dworzec Główny Tunel
17;Politechnika 03;Politechnika
18;Dworzec Towarowy 01;Dworzec Towarowy
19;Szpital Narutowicza 01;Szpital Narutowicza
20;Bratysławska 01;Bratysławska
21;Krowodrza Górka P+R 01;Krowodrza Górka P+R
22;Pachońskiego P+R 01;Pachońskiego P+R
23;Białoprądnicka 02;Białoprądnicka
24;Górnickiego 02;Górnickiego
25;Siewna Wiadukt 01;Siewna Wiadukt
26;Bociana 01;Bociana
27;Kuźnicy Kołłątajowskiej 01;Kuźnicy Kołłątajowskiej
28;Papierni Prądnickich 01;Papierni Prądnickich
29;Górka Narodowa P+R 91;Górka Narodowa P+R
