Lp;Nazwa;Audio;Kierunek;Extras
1;Czerwone Maki P+R 01;Czerwone Maki P+R;Os. Piastów;
2;Kampus UP JP II 02;Kampus UP JP II;;
3;Kampus UJ 02;Kampus UJ;;
4;Ruczaj 02;Ruczaj;;
5;Norymberska 02;Norymberska;;
6;Grota-Roweckiego 02;Grota-Roweckiego;;
7;Lipińskiego 02;Lipińskiego;;
8;Kobierzyńska 02;Kobierzyńska;;
9;Słomiana 02;Słomiana;;
10;Kapelanka 02;Kapelanka;;
11;Szwedzka 02;Szwedzka;;
12;Rondo Grunwaldzkie 02;Rondo Grunwaldzkie;;
13;Orzeszkowej 02;Orzeszkowej;;
14;Stradom 01;Stradom;;
15;Starowiślna 01;Starowiślna;;
16;Poczta Główna 02;Poczta Główna;;
17;Teatr Słowackiego 03;Teatr Słowackiego;;
18;Lubicz 02;Lubicz;;
19;Rondo Mogilskie 02;Rondo Mogilskie;;
20;Cystersów 01;Cystersów;;
21;Białucha 01;Białucha;;
22;TAURON Arena Kraków Wieczysta 01;TAURON Arena Kraków Wieczysta;;
23;Muzeum Lotnictwa Polskiego 01;Muzeum Lotnictwa Polskiego;;
24;AKF / PK 01;AKF PK;;
25;Stella-Sawickiego 01;Stella-Sawickiego;;
26;Czyżyny 01;Czyżyny;;
27;Rondo Czyżyńskie 03;Rondo Czyżyńskie;;
28;Bieńczycka 02;Bieńczycka;;
29;Rondo Kocmyrzowskie im. Ks. Gorzelanego 01;Rondo Kocmyrzowskie im. Ks. Gorzelanego;;
30;DH Wanda 01;DH Wanda;;
31;Rondo Hipokratesa 01;Rondo Hipokratesa;;
32;Dunikowskiego 01;Dunikowskiego;;
33;Kleeberga 01;Kleeberga;;
34;Piasta Kołodzieja 01;Piasta Kołodzieja;;
35;Os. Piastów 91;Os. Piastów;;koniec_trasy
