# Copyright:
# (c) ROKMK 2026 - All rights reserved.
# Generated with Routes-Generator for SIP by ROKMK.
#
# Route Info:
# Line: 62   Direction: Czerwone Maki P+R   Stops amount: 32   Route changed: False
# Line operator: MPK S.A. w Krakowie   Vehicle type: Tram
Lp;Nazwa;Audio;Kierunek;Extras
1;Plac Centralny im. R.Reagana 01;Plac Centralny im. R.Reagana;Czerwone Maki P+R;
2;Os. Kolorowe 02;Os. Kolorowe;;
3;Rondo Czyżyńskie 04;Rondo Czyżyńskie;;
4;Gałczyńskiego 02;Gałczyńskiego;;
5;Rondo 308. Dywizjonu 02;Rondo 308. Dywizjonu;;
6;Ogród Doświadczeń 02;Ogród Doświadczeń;;
7;TAURON Arena Kraków al. Pokoju 02;TAURON Arena Kraków Al. Pokoju;;
8;Dąbie 02;Dąbie;;
9;Ofiar Dąbia 02;Ofiar Dąbia;;
10;Fabryczna 02;Fabryczna;;
11;Nullo 02;Nullo;;
12;Teatr Variété 02;Teatr Variété;;
13;Rondo Grzegórzeckie 03;Rondo Grzegórzeckie;;
14;Rondo Mogilskie 04;Rondo Mogilskie;;
15;Lubicz 01;Lubicz;;
16;Teatr Słowackiego 01;Teatr Słowackiego;;
17;Poczta Główna 01;Poczta Główna;;
18;Starowiślna 02;Starowiślna;;
19;Stradom 03;Stradom;;
20;Orzeszkowej 01;Orzeszkowej;;
21;Rondo Grunwaldzkie 01;Rondo Grunwaldzkie;;
22;Szwedzka 01;Szwedzka;;
23;Kapelanka 01;Kapelanka;;
24;Słomiana 01;Słomiana;;
25;Kobierzyńska 01;Kobierzyńska;;
26;Lipińskiego 01;Lipińskiego;;
27;Grota-Roweckiego 01;Grota-Roweckiego;;
28;Norymberska 01;Norymberska;;
29;Ruczaj 01;Ruczaj;;
30;Kampus UJ 01;Kampus UJ;;
31;Kampus UP JP II 01;Kampus UP JP II;;
32;Czerwone Maki P+R 91;Czerwone Maki P+R;;koniec_trasy
# Generated at 2026-04-17 16:10
