Lp;Nazwa;Audio;Kierunek;Extras
1;Czerwone Maki P+R 01;Czerwone Maki P+R;Plac Centralny im. R.Reagana;
2;Kampus UP JP II 02;Kampus UP JP II;;
3;Kampus UJ 02;Kampus UJ;;
4;Ruczaj 02;Ruczaj;;
5;Norymberska 02;Norymberska;;
6;Grota-Roweckiego 02;Grota-Roweckiego;;
7;Lipińskiego 02;Lipińskiego;;
8;Kobierzyńska 02;Kobierzyńska;;
9;Słomiana 02;Słomiana;;
10;Kapelanka 02;Kapelanka;;
11;Szwedzka 02;Szwedzka;;
12;Rondo Grunwaldzkie 02;Rondo Grunwaldzkie;;
13;Orzeszkowej 02;Orzeszkowej;;
14;Stradom 01;Stradom;;
15;Starowiślna 01;Starowiślna;;
16;Poczta Główna 02;Poczta Główna;;
17;Teatr Słowackiego 03;Teatr Słowackiego;;
18;Lubicz 02;Lubicz;;
19;Rondo Mogilskie 03;Rondo Mogilskie;;
20;Rondo Grzegórzeckie 01;Rondo Grzegórzeckie;;
21;Teatr Variété 01;Teatr Variété;;
22;Nullo 01;Nullo;;
23;Fabryczna 01;Fabryczna;;
24;Ofiar Dąbia 01;Ofiar Dąbia;;
25;Dąbie 01;Dąbie;;
26;TAURON Arena Kraków al. Pokoju 01;TAURON Arena Kraków Al. Pokoju;;
27;Ogród Doświadczeń 01;Ogród Doświadczeń;;
28;Rondo 308. Dywizjonu 01;Rondo 308. Dywizjonu;;
29;Gałczyńskiego 01;Gałczyńskiego;;
30;Rondo Czyżyńskie 01;Rondo Czyżyńskie;;
31;Os. Kolorowe 01;Os. Kolorowe;;
32;Plac Centralny im. R.Reagana 91;Plac Centralny im. R.Reagana;;
