# Copyright:
# (c) ROKMK 2026 - All rights reserved.
# Generated with Routes-Generator for SIP by ROKMK.
#
# Route Info:
# Line: 69   Direction: Górka Narodowa P+R   Stops amount: 32   Route changed: True
# Line operator: MPK S.A. w Krakowie   Vehicle type: Tram
Lp;Nazwa;Audio;Kierunek;Extras
1;Nowy Bieżanów P+R 01;Nowy Bieżanów P+R;Górka Narodowa P+R;
2;Ćwiklińskiej 02;Ćwiklińskiej;;
3;Nowy Prokocim 02;Nowy Prokocim;;
4;Teligi 02;Teligi;;
5;Prokocim Szpital 02;Prokocim Szpital;;
6;Prokocim 02;Prokocim;;
7;Wlotowa 02;Wlotowa;;
8;Bieżanowska 02;Bieżanowska;;
9;Kabel 02;Kabel;;
10;Dworcowa 02;Dworcowa;;
11;Cmentarz Podgórski 02;Cmentarz Podgórski;;
12;Podgórze SKA 02;Podgórze SKA;;
13;Plac Bohaterów Getta 02;Plac Bohaterów Getta;;
14;św. Wawrzyńca 02;Św. Wawrzyńca;;
15;Miodowa 02;Miodowa;;
16;Starowiślna 01;Starowiślna;;
17;Poczta Główna 02;Poczta Główna;;
18;Teatr Słowackiego 03;Teatr Słowackiego;;
19;Dworzec Główny Zachód 02;Dworzec Główny Zachód;;
20;Politechnika 01;Politechnika;;
21;Dworzec Towarowy 01;Dworzec Towarowy;;
22;Szpital Narutowicza 01;Szpital Narutowicza;;
23;Bratysławska 01;Bratysławska;;
24;Krowodrza Górka P+R 01;Krowodrza Górka P+R;;
25;Pachońskiego P+R 01;Pachońskiego P+R;;
26;Białoprądnicka 02;Białoprądnicka;;
27;Górnickiego 02;Górnickiego;;
28;Siewna Wiadukt 01;Siewna Wiadukt;;
29;Bociana 01;Bociana;;
30;Kuźnicy Kołłątajowskiej 01;Kuźnicy Kołłątajowskiej;;
31;Papierni Prądnickich 01;Papierni Prądnickich;;
32;Górka Narodowa P+R 91;Górka Narodowa P+R;;koniec_trasy
# Generated at 2026-04-17 16:11
