# Copyright:
# (c) ROKMK 2026 - All rights reserved.
# Generated with Routes-Generator for SIP by ROKMK.
#
# Route Info:
# Line: 75   Direction: Górka Narodowa P+R   Stops amount: 32   Route changed: False
# Line operator: MPK S.A. w Krakowie   Vehicle type: Tram
Lp;Nazwa;Audio;Kierunek;Extras;Czas
1;Bardosa 02;Bardosa;Górka Narodowa P+R;;0
2;Suche Stawy 02;Suche Stawy;;;1
3;Klasztorna 02;Klasztorna;;;2
4;Os. Na Skarpie 02;Os. Na Skarpie;;;3
5;Plac Centralny im. R.Reagana 01;Plac Centralny im. R.Reagana;;;6
6;Os. Kolorowe 02;Os. Kolorowe;;;7
7;Rondo Czyżyńskie 02;Rondo Czyżyńskie;;;10
8;Czyżyny 02;Czyżyny;;;11
9;Stella-Sawickiego 02;Stella-Sawickiego;;;12
10;AKF / PK 02;AKF PK;;;13
11;Muzeum Lotnictwa Polskiego 02;Muzeum Lotnictwa Polskiego;;;14
12;TAURON Arena Kraków Wieczysta 02;TAURON Arena Kraków Wieczysta;;;16
13;Białucha 02;Białucha;;;17
14;Cystersów 02;Cystersów;;;19
15;Rondo Mogilskie 01;Rondo Mogilskie;;;21
16;Lubicz 01;Lubicz;;;23
17;Teatr Słowackiego 01;Teatr Słowackiego;;;26
18;Stary Kleparz 01;Stary Kleparz;;;28
19;Pędzichów 01;Pędzichów;;;29
20;Nowy Kleparz 01;Nowy Kleparz;;;31
21;Dworzec Towarowy 01;Dworzec Towarowy;;;34
22;Szpital Narutowicza 01;Szpital Narutowicza;;;36
23;Bratysławska 01;Bratysławska;;;37
24;Krowodrza Górka P+R 01;Krowodrza Górka P+R;;;38
25;Pachońskiego P+R 01;Pachońskiego P+R;;;40
26;Białoprądnicka 02;Białoprądnicka;;;41
27;Górnickiego 02;Górnickiego;;;43
28;Siewna Wiadukt 01;Siewna Wiadukt;;;44
29;Bociana 01;Bociana;;;45
30;Kuźnicy Kołłątajowskiej 01;Kuźnicy Kołłątajowskiej;;;46
31;Papierni Prądnickich 01;Papierni Prądnickich;;;47
32;Górka Narodowa P+R 91;Górka Narodowa P+R;;koniec_trasy;49
# Generated at 2026-05-31 20:49
