Lp;Nazwa;Audio
1;Rondo Czyżyńskie 02;Rondo Czyżyńskie
2;Czyżyny 02;Czyżyny
3;Stella-Sawickiego 02;Stella-Sawickiego
4;AKF / PK 02;AKF PK
5;Muzeum Lotnictwa Polskiego 02;Muzeum Lotnictwa Polskiego
6;TAURON Arena Kraków Wieczysta 02;TAURON Arena Kraków Wieczysta
7;Białucha 02;Białucha
8;Cystersów 02;Cystersów
9;Rondo Mogilskie 01;Rondo Mogilskie
10;Lubicz 01;Lubicz
11;Teatr Słowackiego 01;Teatr Słowackiego
12;Stary Kleparz 01;Stary Kleparz
13;Pędzichów 01;Pędzichów
14;Nowy Kleparz 01;Nowy Kleparz
15;Dworzec Towarowy 01;Dworzec Towarowy
16;Szpital Narutowicza 01;Szpital Narutowicza
17;Bratysławska 01;Bratysławska
18;Krowodrza Górka P+R 01;Krowodrza Górka P+R
19;Pachońskiego P+R 01;Pachońskiego P+R
20;Białoprądnicka 02;Białoprądnicka
21;Górnickiego 02;Górnickiego
22;Siewna Wiadukt 01;Siewna Wiadukt
23;Bociana 01;Bociana
24;Kuźnicy Kołłątajowskiej 01;Kuźnicy Kołłątajowskiej
25;Papierni Prądnickich 01;Papierni Prądnickich
26;Górka Narodowa P+R 91;Górka Narodowa P+R
