# Copyright:
# (c) ROKMK 2026 - All rights reserved.
# Generated with Routes-Generator for SIP by ROKMK.
#
# Route Info:
# Line: 8   Direction: Borek Fałęcki   Stops amount: 27   Route changed: False
# Line operator: MPK S.A. w Krakowie   Vehicle type: Tram
Lp;Nazwa;Audio;Kierunek;Extras;Czas
1;Bronowice Małe 01;Bronowice Małe;Borek Fałęcki;;0
2;Bronowice SKA 02;Bronowice SKA;;;1
3;Wesele 02;Wesele;;;3
4;Bronowice 02;Bronowice;;;4
5;Głowackiego 02;Głowackiego;;;6
6;UKEN 02;UKEN;;;7
7;Biprostal 02;Biprostal;;;8
8;Urzędnicza 02;Urzędnicza;;;9
9;Plac Inwalidów 02;Plac Inwalidów;;;11
10;Stefana Batorego 02;Stefana Batorego;;;12
11;Teatr Bagatela 03;Teatr Bagatela;;;14
12;Filharmonia 03;Filharmonia;;;16
13;Plac Wszystkich Świętych 02;Plac Wszystkich Świętych;;;17
14;św. Gertrudy 02;Św. Gertrudy;;;19
15;Wawel 02;Wawel;;;20
16;Stradom 02;Stradom;;;22
17;Plac Wolnica 01;Plac Wolnica;;;24
18;Korona 03;Korona;;;26
19;Smolki 01;Smolki;;;27
20;Rondo Matecznego 01;Rondo Matecznego;;;29
21;Rzemieślnicza 01;Rzemieślnicza;;;31
22;Łagiewniki 01;Łagiewniki;;;33
23;Łagiewniki ZUS 01;Łagiewniki ZUS;;;35
24;Łagiewniki SKA 05;Łagiewniki SKA;;;36
25;Kościuszkowców 01;Kościuszkowców;;;38
26;Solvay 01;Solvay;;;39
27;Borek Fałęcki 91;Borek Fałęcki;;koniec_trasy;41
# Generated at 2026-04-25 00:29
