# Copyright:
# (c) ROKMK 2026 - All rights reserved.
# Generated with Routes-Generator for SIP by ROKMK.
#
# Route Info:
# Line: 8   Direction: Bronowice Małe   Stops amount: 26   Route changed: False
# Line operator: MPK S.A. w Krakowie   Vehicle type: Tram
Lp;Nazwa;Audio;Kierunek;Extras;Czas
1;Borek Fałęcki 01;Borek Fałęcki;Bronowice Małe;;0
2;Solvay 02;Solvay;;;1
3;Kościuszkowców 02;Kościuszkowców;;;2
4;Łagiewniki SKA 02;Łagiewniki SKA;;;4
5;Łagiewniki 02;Łagiewniki;;;7
6;Rzemieślnicza 02;Rzemieślnicza;;;8
7;Rondo Matecznego 02;Rondo Matecznego;;;9
8;Smolki 02;Smolki;;;10
9;Korona 01;Korona;;;12
10;Plac Wolnica 02;Plac Wolnica;;;14
11;Stradom 04;Stradom;;;16
12;Wawel 01;Wawel;;;18
13;św. Gertrudy 01;Św. Gertrudy;;;19
14;Plac Wszystkich Świętych 01;Plac Wszystkich Świętych;;;21
15;Filharmonia 01;Filharmonia;;;23
16;Teatr Bagatela 01;Teatr Bagatela;;;25
17;Stefana Batorego 01;Stefana Batorego;;;26
18;Plac Inwalidów 01;Plac Inwalidów;;;28
19;Urzędnicza 01;Urzędnicza;;;29
20;Biprostal 01;Biprostal;;;30
21;UKEN 01;UKEN;;;32
22;Głowackiego 01;Głowackiego;;;33
23;Bronowice 03;Bronowice;;;35
24;Wesele 01;Wesele;;;36
25;Bronowice SKA 01;Bronowice SKA;;;38
26;Bronowice Małe 91;Bronowice Małe;;koniec_trasy;40
# Generated at 2026-04-25 00:37
