Lp;Nazwa;Audio;Kierunek
1;Rondo Hipokratesa 02;Rondo Hipokratesa;Nowy Bieżanów P+R
2;DH Wanda 02;DH Wanda;
3;Rondo Kocmyrzowskie im. Ks. Gorzelanego 02;Rondo Kocmyrzowskie im. Ks. Gorzelanego;
4;Bieńczycka 01;Bieńczycka;
5;Rondo Czyżyńskie 02;Rondo Czyżyńskie;
6;Czyżyny 02;Czyżyny;
7;Stella-Sawickiego 02;Stella-Sawickiego;
8;AKF / PK 02;AKF PK;
9;Muzeum Lotnictwa Polskiego 02;Muzeum Lotnictwa Polskiego;
10;TAURON Arena Kraków Wieczysta 02;TAURON Arena Kraków Wieczysta;
11;Białucha 02;Białucha;
12;Cystersów 02;Cystersów;
13;Rondo Mogilskie 03;Rondo Mogilskie;
14;Rondo Grzegórzeckie 04;Rondo Grzegórzeckie;
15;Zabłocie 01;Zabłocie;
16;Klimeckiego 01;Klimeckiego;
17;Kuklińskiego 01;Kuklińskiego;
18;Gromadzka 01;Gromadzka;
19;Lipska 03;Lipska;
20;Dworzec Płaszów Estakada 02;Dworzec Płaszów Estakada;
21;Kabel 01;Kabel;
22;Bieżanowska 01;Bieżanowska;
23;Wlotowa 01;Wlotowa;
24;Prokocim 01;Prokocim;
25;Prokocim Szpital 01;Prokocim Szpital;
26;Teligi 01;Teligi;
27;Nowy Prokocim 01;Nowy Prokocim;
28;Ćwiklińskiej 01;Ćwiklińskiej;
29;Nowy Bieżanów P+R 91;Nowy Bieżanów P+R;
