Lp;Nazwa;Audio;Kierunek
1;PH;PH;
2;Elektromontaż (NŻ) 02;Elektromontaż;
3;Grodzki Urząd Pracy 02;Grodzki Urząd Pracy;
4;Wańkowicza 01;Wańkowicza;
5;Cienista 01;Cienista;
6;Teatr Ludowy 01;Teatr Ludowy;
7;Rondo Kocmyrzowskie im. Ks. Gorzelanego 02;Rondo Kocmyrzowskie im. Ks. Gorzelanego;
8;Bieńczycka 01;Bieńczycka;
9;Rondo Czyżyńskie 02;Rondo Czyżyńskie;
10;Czyżyny 02;Czyżyny;
11;Stella-Sawickiego 02;Stella-Sawickiego;
12;AKF / PK 02;AKF PK;;
13;Muzeum Lotnictwa Polskiego 02;Muzeum Lotnictwa Polskiego;
14;TAURON Arena Kraków Wieczysta 02;TAURON Arena Kraków Wieczysta;
15;Białucha 02;Białucha;
16;Cystersów 02;Cystersów;
17;Rondo Mogilskie 05;Rondo Mogilskie;
18;Dworzec Główny Tunel 02;Dworzec Główny Tunel;
19;Politechnika 03;Politechnika;
20;Dworzec Towarowy 01;Dworzec Towarowy;
21;Szpital Narutowicza 01;Szpital Narutowicza;
22;Bratysławska 01;Bratysławska;
23;Krowodrza Górka P+R 01;Krowodrza Górka P+R;
24;Pachońskiego P+R 01;Pachońskiego P+R;
25;Białoprądnicka 02;Białoprądnicka;
26;Górnickiego 02;Górnickiego;
27;Siewna Wiadukt 01;Siewna Wiadukt;
28;Bociana 01;Bociana;
29;Kuźnicy Kołłątajowskiej 01;Kuźnicy Kołłątajowskiej;
30;Papierni Prądnickich 01;Papierni Prądnickich;
31;Górka Narodowa P+R 91;Górka Narodowa P+R;
