Lp;Nazwa;Audio
1;PT;PT
2;Łagiewniki 02;Łagiewniki
3;Rzemieślnicza 02;Rzemieślnicza
4;Rondo Matecznego 02;Rondo Matecznego
5;Smolki 02;Smolki
6;Korona 01;Korona
7;Plac Wolnica 02;Plac Wolnica
8;Stradom 04;Stradom
9;Wawel 01;Wawel
10;Poczta Główna 03;Poczta Główna
11;Teatr Słowackiego 03;Teatr Słowackiego
12;Stary Kleparz 01;Stary Kleparz
13;Teatr Bagatela 02;Teatr Bagatela
14;Stefana Batorego 01;Stefana Batorego
15;Plac Inwalidów 01;Plac Inwalidów
16;Urzędnicza 01;Urzędnicza
17;Biprostal 01;Biprostal
18;UKEN 01;UKEN
19;Głowackiego 01;Głowackiego
20;Bronowice 03;Bronowice
21;Wesele 01;Wesele
22;Bronowice SKA 01;Bronowice SKA
23;Bronowice Małe 91;Bronowice Małe
