# Copyright:
# (c) ROKMK 2026 - All rights reserved.
# Generated with Routes-Generator for SIP by ROKMK.
#
# Route Info:
# Line: 13   Direction: Nowy Bieżanów P+R   Stops amount: 24   Route changed: True
# Line operator: MPK S.A. w Krakowie   Vehicle type: Tram
Lp;Nazwa;Audio;Kierunek;Extras;Czas
1;Salwator 01;Salwator;Nowy Bieżanów P+R;;0
2;Salwator 02;Salwator;;;1
3;Komorowskiego 02;Komorowskiego;;;2
4;Jubilat 02;Jubilat;;;3
5;Filharmonia 02;Filharmonia;;;6
6;Plac Wszystkich Świętych 02;Plac Wszystkich Świętych;;;7
7;św. Gertrudy 02;Św. Gertrudy;;;9
8;Wawel 02;Wawel;;;10
9;Stradom 02;Stradom;;;12
10;Plac Wolnica 01;Plac Wolnica;;;14
11;Korona 03;Korona;;;16
12;Limanowskiego 01;Limanowskiego;;;18
13;Podgórze SKA 01;Podgórze SKA;;;21
14;Cmentarz Podgórski 01;Cmentarz Podgórski;;;22
15;Dworcowa 01;Dworcowa;;;24
16;Kabel 01;Kabel;;;26
17;Bieżanowska 01;Bieżanowska;;;29
18;Wlotowa 01;Wlotowa;;;30
19;Prokocim 01;Prokocim;;;31
20;Prokocim Szpital 01;Prokocim Szpital;;;33
21;Teligi 01;Teligi;;;35
22;Nowy Prokocim 01;Nowy Prokocim;;;36
23;Ćwiklińskiej 01;Ćwiklińskiej;;;37
24;Nowy Bieżanów P+R 91;Nowy Bieżanów P+R;;koniec_trasy;38
# Generated at 2026-04-25 01:21
