# Copyright:
# (c) ROKMK 2026 - All rights reserved.
# Generated with Routes-Generator for SIP by ROKMK.
#
# Route Info:
# Line: 13   Direction: Salwator   Stops amount: 24   Route changed: True
# Line operator: MPK S.A. w Krakowie   Vehicle type: Tram
Lp;Nazwa;Audio;Kierunek;Extras;Czas
1;Nowy Bieżanów P+R 01;Nowy Bieżanów P+R;Salwator;;0
2;Ćwiklińskiej 02;Ćwiklińskiej;;;1
3;Nowy Prokocim 02;Nowy Prokocim;;;2
4;Teligi 02;Teligi;;;3
5;Prokocim Szpital 02;Prokocim Szpital;;;4
6;Prokocim 02;Prokocim;;;6
7;Wlotowa 02;Wlotowa;;;7
8;Bieżanowska 02;Bieżanowska;;;8
9;Kabel 02;Kabel;;;10
10;Dworcowa 02;Dworcowa;;;12
11;Cmentarz Podgórski 02;Cmentarz Podgórski;;;14
12;Podgórze SKA 02;Podgórze SKA;;;16
13;Limanowskiego 02;Limanowskiego;;;17
14;Korona 02;Korona;;;19
15;Plac Wolnica 02;Plac Wolnica;;;21
16;Stradom 04;Stradom;;;23
17;Wawel 01;Wawel;;;25
18;św. Gertrudy 01;Św. Gertrudy;;;26
19;Plac Wszystkich Świętych 01;Plac Wszystkich Świętych;;;28
20;Filharmonia 01;Filharmonia;;;30
21;Jubilat 01;Jubilat;;;32
22;Komorowskiego 01;Komorowskiego;;;34
23;Salwator 03;Salwator;;;35
24;Salwator 91;Salwator;;koniec_trasy;36
# Generated at 2026-04-25 01:17
