# Copyright:
# (c) ROKMK 2026 - All rights reserved.
# Generated with Routes-Generator for SIP by ROKMK.
#
# Route Info:
# Line: 16   Direction: Mistrzejowice   Stops amount: 14   Route changed: False
# Line operator: MPK S.A. w Krakowie   Vehicle type: Tram
Lp;Nazwa;Audio;Kierunek;Extras
1;Bardosa 02;Bardosa;Mistrzejowice;
2;Suche Stawy 02;Suche Stawy;;
3;Klasztorna 02;Klasztorna;;
4;Os. Na Skarpie 02;Os. Na Skarpie;;
5;Plac Centralny im. R.Reagana 02;Plac Centralny im. R.Reagana;;
6;Os. Zgody 02;Os. Zgody;;
7;Rondo Kocmyrzowskie im. Ks. Gorzelanego 01;Rondo Kocmyrzowskie im. Ks. Gorzelanego;;
8;DH Wanda 01;DH Wanda;;
9;Rondo Hipokratesa 01;Rondo Hipokratesa;;
10;Dunikowskiego 01;Dunikowskiego;;
11;Rondo Piastowskie 01;Rondo Piastowskie;;
12;Os. Złotego Wieku 01;Os. Złotego Wieku;;
13;Miśnieńska 01;Miśnieńska;;
14;Mistrzejowice 94;Mistrzejowice;;koniec_trasy
# Generated at 2026-04-17 15:54
