Lp;Nazwa;Audio;Kierunek
1;Borek Fałęcki 01;Borek Fałęcki;Dworzec Towarowy
2;Solvay 02;Solvay;
3;Kościuszkowców 02;Kościuszkowców;
4;Łagiewniki SKA 02;Łagiewniki SKA;
5;Łagiewniki 02;Łagiewniki;
6;Rzemieślnicza 02;Rzemieślnicza;
7;Rondo Matecznego 02;Rondo Matecznego;
8;Smolki 02;Smolki;
9;Korona 01;Korona;
10;Plac Bohaterów Getta 02;Plac Bohaterów Getta;
11;św. Wawrzyńca 02;Św. Wawrzyńca;
12;Miodowa 02;Miodowa;
13;Starowiślna 03;Starowiślna;
14;Hala Targowa 01;Hala Targowa;
15;Rondo Grzegórzeckie 03;Rondo Grzegórzeckie;
16;Rondo Mogilskie 05;Rondo Mogilskie;
17;Dworzec Główny Tunel 02;Dworzec Główny Tunel;
18;Politechnika 03;Politechnika;
19;Dworzec Towarowy 92;Dworzec Towarowy;
