# Copyright:
# (c) ROKMK 2026 - All rights reserved.
# Generated with Routes-Generator for SIP by ROKMK.
#
# Route Info:
# Line: 2   Direction: Salwator   Stops amount: 13   Route changed: False
# Line operator: MPK S.A. w Krakowie   Vehicle type: Tram
Lp;Nazwa;Audio;Kierunek;Extras
1;Cmentarz Rakowicki 01;Cmentarz Rakowicki;Salwator;
2;Cmentarz Rakowicki 02;Cmentarz Rakowicki;;
3;Muzeum Fotografii 02;Muzeum Fotografii;;
4;Uniwersytet Ekonomiczny 02;Uniwersytet Ekonomiczny;;
5;Lubicz 03;Lubicz;;
6;Teatr Słowackiego 01;Teatr Słowackiego;;
7;Stary Kleparz 01;Stary Kleparz;;
8;Teatr Bagatela 02;Teatr Bagatela;;
9;Filharmonia 03;Filharmonia;;
10;Jubilat 01;Jubilat;;
11;Komorowskiego 01;Komorowskiego;;
12;Salwator 03;Salwator;;
13;Salwator 91;Salwator;;koniec_trasy
# Generated at 2026-04-17 16:16
