# Copyright:
# (c) ROKMK 2026 - All rights reserved.
# Generated with Routes-Generator for SIP by ROKMK.
#
# Route Info:
# Line: 20   Direction: Bronowice   Stops amount: 20   Route changed: True
# Line operator: MPK S.A. w Krakowie   Vehicle type: Tram
Lp;Nazwa;Audio;Kierunek;Extras;Czas
1;Mały Płaszów P+R 01;Mały Płaszów P+R;Bronowice;;0
2;Rzebika 02;Rzebika;;;2
3;Lipska 02;Lipska;;;3
4;Gromadzka 02;Gromadzka;;;4
5;Kuklińskiego 02;Kuklińskiego;;;5
6;Klimeckiego 02;Klimeckiego;;;7
7;Zabłocie 02;Zabłocie;;;8
8;Rondo Grzegórzeckie 03;Rondo Grzegórzeckie;;;12
9;Rondo Mogilskie 04;Rondo Mogilskie;;;14
10;Lubicz 01;Lubicz;;;16
11;Teatr Słowackiego 01;Teatr Słowackiego;;;19
12;Stary Kleparz 01;Stary Kleparz;;;21
13;Teatr Bagatela 02;Teatr Bagatela;;;23
14;Stefana Batorego 01;Stefana Batorego;;;24
15;Plac Inwalidów 01;Plac Inwalidów;;;26
16;Urzędnicza 01;Urzędnicza;;;27
17;Biprostal 01;Biprostal;;;28
18;UKEN 01;UKEN;;;30
19;Głowackiego 01;Głowackiego;;;31
20;Bronowice 91;Bronowice;;koniec_trasy;33
# Generated at 2026-04-25 01:32
