# Copyright:
# (c) ROKMK 2026 - All rights reserved.
# Generated with Routes-Generator for SIP by ROKMK.
#
# Route Info:
# Line: 20   Direction: Mały Płaszów P+R   Stops amount: 20   Route changed: True
# Line operator: MPK S.A. w Krakowie   Vehicle type: Tram
Lp;Nazwa;Audio;Kierunek;Extras;Czas
1;Bronowice 02;Bronowice;Mały Płaszów P+R;;0
2;Głowackiego 02;Głowackiego;;;1
3;UKEN 02;UKEN;;;2
4;Biprostal 02;Biprostal;;;3
5;Urzędnicza 02;Urzędnicza;;;4
6;Plac Inwalidów 02;Plac Inwalidów;;;6
7;Stefana Batorego 02;Stefana Batorego;;;7
8;Teatr Bagatela 03;Teatr Bagatela;;;9
9;Stary Kleparz 02;Stary Kleparz;;;11
10;Teatr Słowackiego 02;Teatr Słowackiego;;;13
11;Lubicz 02;Lubicz;;;15
12;Rondo Mogilskie 03;Rondo Mogilskie;;;17
13;Rondo Grzegórzeckie 04;Rondo Grzegórzeckie;;;20
14;Zabłocie 01;Zabłocie;;;21
15;Klimeckiego 01;Klimeckiego;;;22
16;Kuklińskiego 01;Kuklińskiego;;;24
17;Gromadzka 01;Gromadzka;;;25
18;Lipska 01;Lipska;;;27
19;Rzebika 01;Rzebika;;;28
20;Mały Płaszów P+R 91;Mały Płaszów P+R;;koniec_trasy;30
# Generated at 2026-04-25 01:33
