Lp;Nazwa;Audio;Kierunek;Extras
1;Os. Piastów 01;Os. Piastów;Kurdwanów P+R;
2;Piasta Kołodzieja 02;Piasta Kołodzieja;;
3;Kleeberga 02;Kleeberga;;
4;Dunikowskiego 02;Dunikowskiego;;
5;Rondo Hipokratesa 02;Rondo Hipokratesa;;
6;DH Wanda 02;DH Wanda;;
7;Rondo Kocmyrzowskie im. Ks. Gorzelanego 02;Rondo Kocmyrzowskie im. Ks. Gorzelanego;;
8;Bieńczycka 01;Bieńczycka;;
9;Rondo Czyżyńskie 02;Rondo Czyżyńskie;;
10;Czyżyny 02;Czyżyny;;
11;Stella-Sawickiego 02;Stella-Sawickiego;;
12;AKF / PK 02;AKF PK;;
13;Muzeum Lotnictwa Polskiego 02;Muzeum Lotnictwa Polskiego;;
14;TAURON Arena Kraków Wieczysta 02;TAURON Arena Kraków Wieczysta;;
15;Białucha 02;Białucha;;
16;Cystersów 02;Cystersów;;
17;Rondo Mogilskie 01;Rondo Mogilskie;;
18;Lubicz 01;Lubicz;;
19;Teatr Słowackiego 01;Teatr Słowackiego;;
20;Poczta Główna 01;Poczta Główna;;
21;Starowiślna 02;Starowiślna;;
22;Stradom 03;Stradom;;
23;Orzeszkowej 01;Orzeszkowej;;
24;Rondo Grunwaldzkie 01;Rondo Grunwaldzkie;;
25;Szwedzka 01;Szwedzka;;
26;Kapelanka 01;Kapelanka;;
27;Słomiana 01;Słomiana;;
28;Kobierzyńska 01;Kobierzyńska;;
29;Borsucza 01;Borsucza;;
30;Brożka (NŻ) 01;Brożka;;
31;Łagiewniki 04;Łagiewniki;;
32;Łagiewniki ZUS 01;Łagiewniki ZUS;;
33;Łagiewniki SKA 03;Łagiewniki SKA;;
34;Sanktuarium Bożego Miłosierdzia 01;Sanktuarium Bożego Miłosierdzia;;
35;Turowicza 01;Turowicza;;
36;Kurdwanów P+R 90;Kurdwanów P+R;;koniec_trasy
